일자,시가,고가,저가,종가,거래량,변화량
20201230,182500,183500,179500,182500,257042,0.0
20201229,182000,190000,181000,183500,406603,-0.005449591280653951
20201228,176500,186500,175500,180500,771237,0.01662049861495845
20201224,184500,185500,172000,174000,688721,0.03735632183908046
20201223,166000,208500,161500,185000,3484070,-0.05945945945945946
20201222,170500,171000,164000,164000,167230,0.12804878048780488
20201221,167000,169500,164000,169500,173420,-0.032448377581120944
20201218,168000,169000,165500,166000,138580,0.02108433734939759
20201217,166500,170500,166000,167000,233676,-0.005988023952095809
20201216,169500,171500,166500,168000,423567,-0.005952380952380952
20201215,163000,164000,161000,162500,133061,0.033846153846153845
20201214,165000,165000,161500,162500,133735,0.0
20201211,167500,168500,163500,164500,264882,-0.0121580547112462
20201210,163000,169000,161000,169000,273932,-0.026627218934911243
20201209,164500,164500,161500,163500,157713,0.03363914373088685
20201208,164500,165500,162000,162500,209293,0.006153846153846154
20201207,172000,173000,163500,164000,385408,-0.009146341463414634
20201204,164000,173000,162500,170500,829883,-0.03812316715542522
20201203,158500,160500,156000,160500,195174,0.06230529595015576
20201202,157000,159500,155500,156500,215078,0.025559105431309903
20201201,156500,157500,154000,155000,193287,0.00967741935483871
20201130,161000,161500,155000,155000,313156,0.0
20201127,158500,161000,158500,160500,140059,-0.03426791277258567
20201126,160500,161000,157000,160000,94007,0.003125
20201125,162000,164000,158500,159000,213338,0.006289308176100629
20201124,162500,163000,160500,161500,193958,-0.015479876160990712
20201123,164000,164000,161000,163000,164547,-0.009202453987730062
20201120,161500,163500,159500,163000,186947,0.0
20201119,155000,161500,154000,161000,360149,0.012422360248447204
20201118,153500,155500,152500,153500,113229,0.048859934853420196
20201117,156500,157000,153000,153000,180600,0.0032679738562091504
20201116,157500,159500,156000,157500,186462,-0.02857142857142857
20201113,153000,156000,151500,155500,137464,0.012861736334405145
20201112,153000,154000,151500,154000,134041,0.00974025974025974
20201111,151000,153000,150000,152500,124132,0.009836065573770493
20201110,154500,154500,150000,152000,159329,0.003289473684210526
20201109,154000,155500,153000,153500,96829,-0.009771986970684038
20201106,157000,157000,151500,152500,121591,0.006557377049180328
20201105,156000,159000,155500,156000,134538,-0.022435897435897436
20201104,154000,157500,152000,155500,170064,0.003215434083601286
20201103,152000,153000,150500,152000,98272,0.023026315789473683
20201102,152000,152000,148500,151000,97298,0.006622516556291391
20201030,157000,157000,152000,152000,144349,-0.006578947368421052
20201029,158000,159500,155000,158000,120338,-0.0379746835443038
20201028,155000,162500,154000,162000,159522,-0.024691358024691357
20201027,152500,157500,150000,155000,113868,0.04516129032258064
20201026,157000,158500,152000,152500,119920,0.01639344262295082
20201023,160000,161000,156000,157500,88190,-0.031746031746031744
20201022,163000,163000,157000,157500,144489,0.0
20201021,165000,167000,162500,164000,127746,-0.039634146341463415
20201020,162500,164500,160000,164500,107310,-0.00303951367781155
20201019,158000,165000,157000,164000,195739,0.003048780487804878
20201016,158000,160000,155000,157000,90591,0.044585987261146494
20201015,163000,163500,156000,159500,127547,-0.01567398119122257
20201014,166000,169000,162500,163000,224184,-0.02147239263803681
20201013,166500,168500,162000,163000,195485,0.0
20201012,167500,168000,161500,162000,117661,0.006172839506172839
20201008,167500,169000,164000,166000,230506,-0.024096385542168676
20201007,157000,166500,155000,166000,261275,0.0
20201006,158000,158500,156500,157000,107303,0.05732484076433121
20201005,155000,157000,153500,157000,90040,0.0
20200929,158000,158500,153500,155000,118006,0.012903225806451613
20200928,154000,157500,153500,155500,106135,-0.003215434083601286
20200925,149000,152000,146000,151500,121813,0.026402640264026403
20200924,152000,154000,146500,147500,175012,0.02711864406779661
20200923,156500,157500,152000,154500,155945,-0.045307443365695796
20200922,159000,161000,154000,155000,157282,-0.0032258064516129032
20200921,160000,163000,156000,157500,166897,-0.015873015873015872
20200918,161500,164500,160000,161500,287773,-0.02476780185758514
20200917,167500,168000,161500,162000,210746,-0.0030864197530864196
20200916,171000,172000,167500,168500,127730,-0.03857566765578635
20200915,171000,171000,166000,169500,174968,-0.0058997050147492625
20200914,171500,171500,168000,170000,111647,-0.0029411764705882353
20200911,168500,170000,166000,169500,173693,0.0029498525073746312
20200910,169000,172500,165000,169500,481188,0.0
20200909,161000,167500,160000,166000,333883,0.02108433734939759
20200908,160000,164500,160000,162000,194051,0.024691358024691357
20200907,160000,161000,156500,158500,116202,0.022082018927444796
20200904,155500,160500,155000,158000,270454,0.0031645569620253164
20200903,168500,169000,162000,163000,269915,-0.03067484662576687
20200902,158500,169000,158000,169000,818324,-0.03550295857988166
20200901,145500,154500,141500,153500,322368,0.10097719869706841
20200831,147500,149000,144500,145000,128873,0.05862068965517241
20200828,147000,149000,146000,147000,101248,-0.013605442176870748
20200827,149500,150000,146500,146500,114677,0.0034129692832764505
20200826,151000,151000,147500,149500,177660,-0.020066889632107024
20200825,156500,157000,149000,152000,267834,-0.01644736842105263
20200824,148000,156000,145500,155000,228720,-0.01935483870967742
20200821,148000,149000,143500,146500,171356,0.05802047781569966
20200820,153000,153500,143500,145000,325065,0.010344827586206896
20200819,154500,156000,152000,154500,153435,-0.061488673139158574
20200818,162500,165000,151000,154500,418830,0.0
20200814,166500,168000,161500,163500,169898,-0.05504587155963303
20200813,163000,167500,162000,166000,438222,-0.015060240963855422
20200812,159000,161500,158000,161500,192240,0.02786377708978328
20200811,161000,162500,157000,160000,195262,0.009375
20200810,165000,165000,158000,160500,321918,-0.003115264797507788
20200807,164500,166500,163000,165000,264314,-0.02727272727272727
20200806,163500,164500,161500,163000,182359,0.012269938650306749
20200805,167500,167500,162000,163000,253805,0.0
20200804,167000,167000,163000,167000,192571,-0.023952095808383235
20200803,161000,165500,161000,165000,210011,0.012121212121212121
20200731,165500,166500,161000,161000,165939,0.024844720496894408
20200730,164000,165000,162000,162000,114044,-0.006172839506172839
20200729,162500,164500,160000,162000,149108,0.0
20200728,159500,165000,159500,163000,292320,-0.006134969325153374
20200727,156000,160000,156000,157000,182513,0.03821656050955414
20200724,158500,160500,155000,156000,287131,0.00641025641025641
20200723,167000,170000,159500,160500,510467,-0.028037383177570093
20200722,171500,171500,163000,164500,326333,-0.0243161094224924
20200721,162500,172000,161500,171000,440261,-0.038011695906432746
20200720,167000,167000,159500,161000,234878,0.062111801242236024
20200717,164000,166000,163500,165000,126754,-0.024242424242424242
20200716,168500,171000,161500,163500,246792,0.009174311926605505
20200715,174500,175000,168000,169000,219888,-0.03254437869822485
20200714,173000,175000,171500,174000,131599,-0.028735632183908046
20200713,179500,179500,172000,173500,214564,0.002881844380403458
20200710,180500,181000,174500,177000,126707,-0.01977401129943503
20200709,174500,179500,173000,179500,171069,-0.013927576601671309
20200708,175500,179000,173500,173500,185304,0.0345821325648415
20200707,180000,180000,175500,175500,131564,-0.011396011396011397
20200706,177000,178500,172500,178500,137135,-0.01680672268907563
20200703,172500,177500,172000,176000,109482,0.014204545454545454
20200702,176500,177000,172000,173000,100555,0.017341040462427744
20200701,176500,178500,173500,175000,143766,-0.011428571428571429
