일자,시가,고가,저가,종가,거래량,변화량
20201230,813000,824000,805000,824000,339889,0.0
20201229,817000,827000,805000,813000,392849,0.013530135301353014
20201228,818000,824000,807000,814000,264888,-0.0012285012285012285
20201224,810000,822000,802000,818000,335065,-0.004889975550122249
20201223,802000,830000,777000,806000,594211,0.01488833746898263
20201222,815000,816000,796000,797000,306523,0.011292346298619825
20201221,819000,823000,809000,815000,284091,-0.022085889570552148
20201218,831000,832000,806000,814000,353819,0.0012285012285012285
20201217,823000,830000,811000,830000,319523,-0.01927710843373494
20201216,812000,822000,808000,819000,321381,0.013431013431013432
20201215,802000,804000,794000,801000,300410,0.02247191011235955
20201214,811000,811000,791000,793000,332473,0.01008827238335435
20201211,825000,827000,808000,808000,363164,-0.018564356435643563
20201210,822000,833000,815000,817000,615054,-0.011015911872705019
20201209,820000,836000,807000,836000,392544,-0.022727272727272728
20201208,816000,830000,805000,811000,389335,0.030826140567200986
20201207,832000,838000,807000,816000,498527,-0.006127450980392157
20201204,863000,863000,846000,846000,375662,-0.03546099290780142
20201203,839000,846000,827000,846000,372854,0.0
20201202,816000,849000,811000,841000,592081,0.005945303210463734
20201201,808000,816000,794000,809000,404022,0.03955500618046971
20201130,807000,813000,790000,800000,728920,0.01125
20201127,807000,820000,798000,810000,390212,-0.012345679012345678
20201126,794000,821000,783000,816000,556575,-0.007352941176470588
20201125,820000,833000,784000,788000,780482,0.03553299492385787
20201124,760000,799000,754000,799000,858347,-0.01376720901126408
20201123,739000,748000,735000,748000,466506,0.06818181818181818
20201120,722000,731000,716000,724000,285042,0.03314917127071823
20201119,712000,725000,709000,721000,356316,0.004160887656033287
20201118,688000,709000,686000,709000,350805,0.01692524682651622
20201117,678000,686000,675000,686000,331899,0.033527696793002916
20201116,682000,691000,675000,677000,573360,0.013293943870014771
20201113,688000,710000,680000,705000,388449,-0.03971631205673759
20201112,696000,710000,691000,692000,396873,0.01878612716763006
20201111,708000,717000,685000,692000,528736,0.0
20201110,722000,733000,701000,702000,563688,-0.014245014245014245
20201109,739000,750000,722000,734000,601476,-0.043596730245231606
20201106,688000,724000,686000,720000,1268197,0.019444444444444445
20201105,663000,677000,656000,677000,446583,0.06351550960118169
20201104,662000,673000,645000,650000,472730,0.04153846153846154
20201103,630000,659000,628000,656000,638480,-0.009146341463414634
20201102,609000,625000,588000,623000,505856,0.052969502407704656
20201030,647000,648000,611000,611000,820454,0.019639934533551555
20201029,629000,654000,629000,651000,386081,-0.06144393241167435
20201028,647000,647000,626000,642000,368105,0.014018691588785047
20201027,633000,641000,627000,632000,261388,0.015822784810126583
20201026,645000,650000,634000,646000,264208,-0.021671826625386997
20201023,646000,650000,633000,650000,405718,-0.006153846153846154
20201022,623000,642000,621000,639000,512433,0.017214397496087636
20201021,624000,626000,614000,617000,241633,0.03565640194489465
20201020,606000,626000,605000,621000,483397,-0.00644122383252818
20201019,642000,642000,614000,615000,473127,0.00975609756097561
20201016,633000,643000,628000,640000,310579,-0.0390625
