일자,시가,고가,저가,종가,거래량,변화량
20201230,20896,21090,20664,21090,1513748,0.0
20201229,20819,21168,20509,20858,1555962,0.01112283056860677
20201228,20547,20625,20160,20431,1828094,0.02089961333268073
20201224,20547,21207,20509,20858,2193448,-0.020471761434461597
20201223,20043,20509,19966,20392,1374971,0.022852098862298942
20201222,20431,20470,20160,20160,1823251,0.011507936507936509
20201221,20935,20935,20392,20703,1474367,-0.026228082886538183
20201218,20819,21129,20547,20935,1614162,-0.011081920229281108
20201217,21207,21245,20625,20935,2124803,0.0
20201216,21439,21594,21245,21284,1252267,-0.01639729374177786
20201215,21168,21517,20819,21245,2279806,0.0018357260531889857
20201214,21788,21827,21090,21245,3658795,0.0
20201211,22098,22719,21788,22021,5883016,-0.03523908995958403
20201210,21633,21982,21245,21943,7095907,0.0035546643576539216
20201209,21090,21633,20547,21517,7615934,0.019798299019380024
20201208,20005,21013,19811,20703,5394196,0.03931797324059315
20201207,20237,20237,19539,20005,2345738,0.034891277180704824
20201204,20198,20664,20198,20276,2859631,-0.013365555336358257
20201203,20160,20470,19772,20198,3295918,0.003861768491929894
20201202,21013,21013,19811,20043,6416804,0.007733373247517837
20201201,20121,22021,19694,20431,15560039,-0.018990749351475697
20201130,19733,20315,19462,19772,4091311,0.03332996156180457
20201127,19733,19966,19578,19656,2732438,0.005901505901505902
20201126,19617,19694,19229,19617,2180385,0.0019880715705765406
20201125,19966,20276,19074,19772,5993009,-0.007839368804369817
20201124,19152,19694,19074,19501,6070113,0.013896723244961797
20201123,18299,18919,18027,18764,3593794,0.039277339586442125
20201120,17834,18919,17678,18415,5926709,0.018951941352158566
20201119,18299,18454,17601,17989,6076332,0.023681138473511592
20201118,18609,19462,17911,18531,8205885,-0.029248286654794668
20201117,21207,22486,18803,19035,29343022,-0.026477541371158392
20201116,18764,23378,18764,20896,74509096,-0.08906010719754977
20201113,19384,20315,18570,18570,9890614,0.125255788906839
20201112,19539,19811,18725,19074,7048416,-0.026423403586033345
20201111,19307,20121,18997,19927,12939812,-0.04280624278616952
20201110,19423,20896,18609,18803,18803992,0.05977769504866245
20201109,16283,17058,16205,16903,5125236,0.11240608176063421
20201106,16244,16399,16011,16128,1898477,0.0480530753968254
20201105,15740,15934,15701,15895,1169872,0.014658697703680402
20201104,16205,16205,15585,15701,1497490,0.012355900898031973
20201103,15624,16050,15624,16011,943182,-0.019361688838923242
