일자,시가,고가,저가,종가,거래량,변화량
20201230,77400,81300,77300,81000,29417421,0.0
20201229,78800,78900,77300,78300,30339449,0.034482758620689655
20201228,79000,80100,78200,78700,40085044,-0.005082592121982211
20201224,74100,78800,74000,77800,32502870,0.011568123393316195
20201223,72400,74000,72300,73900,19411326,0.05277401894451962
20201222,72500,73200,72100,72300,16304910,0.022130013831258646
20201221,73100,73400,72000,73000,20367355,-0.009589041095890411
20201218,73300,73700,73000,73000,17613029,0.0
20201217,73400,73700,72600,73300,24293214,-0.004092769440654843
20201216,74100,74500,73400,73800,17512081,-0.006775067750677507
20201215,73800,74100,73300,73800,20863671,0.0
20201214,73600,74500,73200,73800,21510415,0.0
20201211,73500,73800,73100,73400,18486672,0.005449591280653951
20201210,72700,73800,72500,72900,39882928,0.006858710562414266
20201209,72100,73900,72000,73900,24077996,-0.013531799729364006
20201208,72200,72900,71600,71700,25000338,0.030683403068340307
20201207,72400,73500,71900,72900,28490496,-0.01646090534979424
20201204,70400,72100,70100,71500,28130533,0.019580419580419582
20201203,70100,70500,69300,69700,23677989,0.02582496413199426
20201202,68400,69900,68300,69500,29703942,0.0028776978417266188
20201201,67100,68300,67100,67800,22327173,0.025073746312684365
20201130,68400,68600,66700,66700,43811016,0.01649175412293853
20201127,68000,68400,67600,68200,14063434,-0.021994134897360705
20201126,66100,68000,66000,68000,19023323,0.0029411764705882353
20201125,67900,68300,66500,66600,32447065,0.021021021021021023
20201124,67900,69500,67000,67700,32158235,-0.01624815361890694
20201123,64800,67800,64700,67500,27134398,0.002962962962962963
20201120,63900,65200,63900,64700,15068682,0.04327666151468315
20201119,64100,64800,63900,64600,16590290,0.0015479876160990713
20201118,65700,66200,64700,64800,22963790,-0.0030864197530864196
20201117,67000,67000,65600,65700,30204089,-0.0136986301369863
20201116,64000,66700,63900,66300,36354334,-0.00904977375565611
20201113,61300,63200,61000,63200,31508829,0.0490506329113924
20201112,61000,61400,60700,61000,19800573,0.036065573770491806
20201111,60700,61400,60400,61300,25628510,-0.004893964110929853
20201110,60500,60500,59500,60200,19073552,0.018272425249169437
20201109,60700,60900,60100,60200,15892961,0.0
20201106,60700,60800,59600,60100,16910230,0.0016638935108153079
20201105,59000,60300,58800,60300,20639475,-0.003316749585406302
20201104,58900,59000,57800,58500,21718561,0.03076923076923077
20201103,57900,58900,57600,58800,14950919,-0.00510204081632653
20201102,56400,57500,56000,57400,20489076,0.024390243902439025
20201030,58000,58000,56600,56600,26907844,0.014134275618374558
20201029,58200,58500,57500,58100,22636966,-0.025817555938037865
20201028,59400,59400,58800,59000,14428882,-0.015254237288135594
20201027,60300,60300,59500,59800,17260416,-0.013377926421404682
20201026,60400,61100,60100,60400,13268226,-0.009933774834437087
20201023,60400,60400,59800,60200,9322232,0.0033222591362126247
20201022,60300,60500,59800,60100,14294095,0.0016638935108153079
20201021,61200,61500,60600,60900,15703443,-0.013136288998357963
20201020,60300,60900,60100,60900,19326115,0.0
20201019,59600,60200,59500,60000,14474985,0.015
20201016,60000,60400,59000,59500,16554190,0.008403361344537815
20201015,60700,60800,59700,60000,17756232,-0.008333333333333333
20201014,61000,61100,60500,60900,16086716,-0.014778325123152709
20201013,61000,61400,60400,60900,19247631,0.0
20201012,60000,60400,59900,60400,16145837,0.008278145695364239
20201008,60500,60700,59500,59700,24589924,0.011725293132328308
20201007,58700,59900,58500,59900,14861838,-0.00333889816360601
20201006,59400,59900,58700,59000,14463826,0.015254237288135594
20201005,57500,59200,57500,58700,20228289,0.005110732538330494
20200929,58300,59000,58200,58200,15503563,0.00859106529209622
20200928,58300,58800,57900,58200,12614080,0.0
20200925,57700,58200,57700,57900,11444683,0.0051813471502590676
20200924,57700,58600,57600,57800,17564020,0.0017301038062283738
20200923,58400,58800,57400,58600,20111398,-0.013651877133105802
20200922,59100,59700,57800,58200,20830381,0.006872852233676976
20200921,59100,60000,59000,59200,15140387,-0.016891891891891893
20200918,59800,59900,59100,59300,18884571,-0.0016863406408094434
20200917,60700,60800,59300,59500,25108356,-0.0033613445378151263
20200916,61100,61300,60600,61000,17041444,-0.02459016393442623
20200915,60900,61000,60500,61000,17877075,0.0
20200914,60200,60800,59900,60400,20648281,0.009933774834437087
20200911,59300,59400,58200,59000,16017098,0.023728813559322035
20200910,59900,60000,59100,59200,29923293,-0.0033783783783783786
20200909,58200,59300,57800,58400,30597399,0.0136986301369863
20200908,57400,58700,57200,58700,31517520,-0.005110732538330494
20200907,56100,57300,55800,56500,18685880,0.03893805309734513
