일자,시가,고가,저가,종가,거래량,변화량
20201230,362500,365000,351000,359000,2107841,0.0
20201229,360500,365000,347000,360500,5725005,-0.004160887656033287
20201228,343212,353523,318170,327500,7295632,0.10076335877862595
20201224,349104,351559,337320,341248,2076258,-0.04028741560390098
20201223,357451,359415,347631,348613,1425317,-0.02112657875638602
20201222,361379,364325,352541,352541,1358477,-0.01114196646631172
20201221,354505,365798,350086,360397,2005754,-0.021798183669675387
20201218,346649,351068,344685,349595,921874,0.030898611250160902
20201217,342230,350086,340266,345176,910608,0.012802164692794401
20201216,357451,358433,346158,347140,1265904,-0.00565765973382497
20201215,353523,355487,335356,353523,2434131,-0.018055402335915908
20201214,359906,363834,343703,351068,1676174,0.006992947235293447
20201211,366780,366780,354014,354505,1116272,-0.009695208812287555
20201210,338302,361870,337811,353523,2056690,0.0027777542055255245
20201209,345667,357942,321116,347140,3599378,0.01838739413493115
20201208,388875,395258,340757,343703,4600980,0.009999912715338533
20201207,389366,396240,373163,396240,3465337,-0.13258883504946498
20201204,349595,378564,349104,373163,4734606,0.0618416080908343
20201203,338793,353032,336829,344685,1704361,0.08262036352031565
20201202,339284,341739,334865,340757,1148553,0.011527276035415267
20201201,339775,345176,331919,337811,1242970,0.008720852784545204
20201130,331428,349104,330937,333883,3062017,0.01176460017431256
20201127,323571,329955,323080,327991,1327381,0.017963907546243645
20201126,328973,331919,317188,323571,2778746,0.013660062242908048
20201125,298530,369235,298039,324062,10726012,-0.001515142164153773
20201124,299512,299512,292638,296075,846027,0.09452672464747108
20201123,294602,298530,293129,295584,980542,0.0016611183284616217
20201120,288219,292147,287728,291165,534421,0.015176961516665808
20201119,293620,295584,287237,288710,1008419,0.008503342454365972
20201118,282327,287728,279872,285764,633875,0.010309206198121527
20201117,281345,287728,277417,280854,917309,0.01748239298710362
20201116,285764,289201,282818,283309,590641,-0.008665450091596102
20201113,284291,289201,278399,284782,832467,-0.0051723774676770305
20201112,289692,291165,283800,286746,1024919,-0.006849267295794884
20201111,272016,295584,270543,291165,2765598,-0.015176961516665808
20201110,278399,280363,271034,271525,1046021,0.07233219777184421
20201109,277417,282818,276435,279872,886316,-0.029824348273496455
20201106,269561,278890,265633,272507,1189737,0.027026828668621355
20201105,268088,269070,261705,267106,965754,0.020220436830322045
20201104,258268,266124,255322,265633,1326699,0.005545244754981497
20201103,242556,254831,242065,254340,1016373,0.04440119525045215
20201102,238137,244520,235682,240101,486328,0.05930420947851112
20201030,248448,248939,236664,236664,825115,0.014522698847310956
20201029,235191,251394,234700,248448,986149,-0.04743044822256569
20201028,236664,238628,234700,238137,426527,0.043298605424608526
20201027,233227,240592,229790,234700,687981,0.014644226672347677
20201026,238628,244520,232245,233718,945429,0.004201644717137747
20201023,234209,237646,229299,233718,723304,0.0
20201022,237155,241083,231754,233227,831654,0.00210524510455479
20201021,239610,242065,236173,239610,625587,-0.026639121906431282
20201020,247466,248448,236173,241083,1215368,-0.006109928945632832
20201019,251885,256795,249921,250903,517772,-0.03913863126387489
20201016,249921,257777,249430,251885,543139,-0.0038986045219048374
20201015,256304,258268,249430,250412,627073,0.0058823059597782855
20201014,264160,264651,256795,257286,585306,-0.026717349564298096
20201013,271034,271034,263669,265633,541433,-0.031423053611561814
20201012,261705,269561,258759,268579,774825,-0.010968839708242268
20201008,258268,266615,257286,257286,874989,0.0438927885699183
20201007,254340,256795,251885,255813,492558,0.0057581123711461105
20201006,250903,254340,249921,253358,556717,0.00968984598868005
20201005,254340,255813,246484,249921,639048,0.013752345741254236
20200929,251885,253849,246484,252867,686838,-0.01165039328975311
20200928,264651,264651,249921,250412,1037814,0.009803843266297142
20200925,247957,259741,247466,253849,1251340,-0.01353954516267545
20200924,254831,259741,244520,245502,1321525,0.033999723016513106
20200923,264160,268088,251885,261214,1302410,-0.06014991539504008
20200922,271525,277417,259250,263178,1337964,-0.007462629855079072
20200921,286255,287728,272016,273489,1074281,-0.03770169915426214
20200918,293620,295584,286255,286255,754705,-0.0445966009327348
20200917,294111,294111,285764,286255,685924,0.0
20200916,291656,297548,290674,291656,438867,-0.018518391529747373
20200915,291165,293620,288710,290674,413089,0.003378355133242051
20200914,293620,295584,289201,290674,508097,0.0
20200911,293129,301967,291165,293129,1022761,-0.00837515223672854
20200910,294111,297057,288710,293129,1246969,0.0
20200909,308841,316206,292638,293129,2482466,0.0
20200908,297548,316206,291656,312278,2698135,-0.061320361985154254
20200907,289692,300494,285764,299512,1016576,0.04262266620369134
20200904,286746,291656,286746,288710,612252,0.03741470679921028
20200903,295093,296075,292147,294111,497412,-0.018363815022219503
20200902,294111,298530,292638,295093,547657,-0.003327764467472966
20200901,291656,296566,289692,292638,668602,0.008389204409543532
20200831,299512,300003,291165,291656,1079872,0.003366980278135886
20200828,300494,302458,298039,299021,557944,-0.024630377130703193
20200827,304913,305404,298530,299021,722862,0.0
20200826,306386,313751,303440,304913,1262116,-0.019323544748829993
20200825,304913,305404,299021,300985,600050,0.013050484243400834
20200824,299021,305404,296075,304422,814190,-0.011290248405174397
20200821,302458,302949,290674,295584,1037558,0.02990012991230919
20200820,297548,311296,295584,299512,1708375,-0.013114666524212719
20200819,308350,308841,297548,298530,880282,0.003289451646400697
20200818,301476,310314,296075,298530,1163773,0.0
20200814,302458,306386,294602,299021,1037943,-0.0016420251420468795
20200813,297057,314242,296075,302949,1754825,-0.012965878745267355
20200812,306877,307859,295584,296566,1121637,0.02152303365861225
20200811,309823,312769,306877,308350,693402,-0.038216312631749634
20200810,315224,318170,307859,309332,1221244,-0.0031745826490631427
20200807,305404,311296,301967,308841,963799,0.001589814823809015
20200806,313751,314242,303931,305404,832683,0.011253945593377952
20200805,298530,309332,298039,309332,1063211,-0.01269833059625257
20200804,294111,301476,291656,296566,891486,0.0430460673172245
20200803,288710,296075,278399,293620,1521548,0.010033376472992303
20200731,294602,300494,290674,291165,823746,0.00843164528703656
20200730,294111,305404,281836,294602,2723830,-0.011666587463764672
20200729,308841,311296,292638,296075,1903406,-0.00497509077091953
20200728,317679,318170,310314,311787,666062,-0.05039337753017284
20200727,314242,315224,310805,311296,507367,0.0015772769325657894
20200724,311787,322098,311296,313260,789309,-0.006269552448445381
20200723,315715,320134,311296,316206,707386,-0.009316711257850895
20200722,316697,317188,309332,315715,748686,0.0015552001013572367
20200721,320625,325044,312278,315715,1217900,0.0
20200720,330446,333392,316697,317188,1391199,-0.0046439335662130975
20200717,312278,324062,309332,322098,1241089,-0.015243807785208228
20200716,307859,315715,304913,309332,734412,0.04126957443782085
20200715,319152,320625,308350,310314,972746,-0.003164536566187797
20200714,321116,325535,316206,318170,842821,-0.0246912028161046
20200713,320625,323571,315224,323080,775224,-0.015197474309768479
20200710,322589,325535,310805,318661,1042448,0.01386740140776562
20200709,316697,322098,311787,318170,1637528,0.0015432001760065375
