일자,시가,고가,저가,종가,거래량,변화량
20201230,913000,934000,911000,931000,118667,0.0
20201229,899000,919000,899000,913000,139932,0.019715224534501644
20201228,898000,903000,888000,898000,112704,0.01670378619153675
20201224,894000,903000,888000,897000,96941,0.0011148272017837235
20201223,873000,899000,870000,888000,141506,0.010135135135135136
20201222,865000,876000,859000,865000,84346,0.026589595375722544
20201221,863000,867000,851000,864000,62278,0.0011574074074074073
20201218,871000,881000,863000,863000,75312,0.0011587485515643105
20201217,870000,875000,864000,868000,66222,-0.00576036866359447
20201216,872000,884000,866000,868000,72835,0.0
20201215,887000,889000,867000,875000,74491,-0.008
20201214,896000,903000,885000,885000,118049,-0.011299435028248588
20201211,897000,897000,880000,888000,75400,-0.0033783783783783786
20201210,869000,884000,859000,878000,116303,0.011389521640091117
20201209,881000,900000,875000,879000,123243,-0.0011376564277588168
20201208,875000,878000,859000,874000,79721,0.005720823798627002
20201207,876000,878000,859000,871000,86365,0.003444316877152698
20201204,861000,874000,860000,867000,87676,0.00461361014994233
20201203,882000,897000,860000,878000,154197,-0.012528473804100227
20201202,856000,865000,846000,859000,129594,0.02211874272409779
20201201,821000,860000,815000,852000,193153,0.008215962441314555
20201130,820000,822000,810000,810000,122666,0.05185185185185185
20201127,811000,829000,810000,822000,78210,-0.014598540145985401
20201126,803000,816000,803000,816000,67165,0.007352941176470588
20201125,820000,822000,805000,805000,116634,0.013664596273291925
20201124,818000,822000,810000,820000,84186,-0.018292682926829267
20201123,840000,840000,818000,822000,84643,-0.0024330900243309003
20201120,831000,832000,814000,828000,78708,-0.007246376811594203
20201119,798000,830000,798000,828000,111578,0.0
20201118,783000,808000,783000,800000,77490,0.035
20201117,794000,794000,782000,789000,105203,0.01394169835234474
20201116,808000,811000,795000,800000,103301,-0.01375
20201113,791000,809000,791000,808000,70746,-0.009900990099009901
20201112,796000,810000,791000,791000,102690,0.021491782553729456
20201111,783000,807000,783000,801000,116090,-0.012484394506866416
20201110,802000,818000,797000,797000,172812,0.005018820577164366
20201109,841000,852000,838000,844000,71482,-0.05568720379146919
20201106,836000,848000,830000,848000,91315,-0.0047169811320754715
20201105,847000,847000,826000,843000,108701,0.005931198102016607
20201104,791000,838000,787000,837000,197108,0.007168458781362007
20201103,778000,792000,778000,782000,48350,0.07033248081841433
20201102,782000,795000,777000,778000,48696,0.005141388174807198
20201030,811000,813000,774000,776000,92285,0.002577319587628866
