일자,시가,고가,저가,종가,거래량,변화량
20201230,76900,78800,76700,77900,4065710,0.0
20201229,76200,77100,75600,76900,4287020,0.013003901170351105
20201228,74900,75400,73900,74600,3232320,0.030831099195710455
20201224,75700,76000,74400,74800,2325660,-0.00267379679144385
20201223,76200,77100,75400,75500,3149760,-0.009271523178807948
20201222,76000,77900,75100,75200,4382580,0.003989361702127659
20201221,73400,76000,73400,75900,4099395,-0.00922266139657444
20201218,73800,73900,73100,73400,2137165,0.0340599455040872
20201217,74800,74800,73700,73800,2275655,-0.005420054200542005
20201216,74700,75000,74200,74400,1346265,-0.008064516129032258
20201215,74700,75100,73800,74200,1965785,0.0026954177897574125
20201214,75300,76200,74500,74700,2401440,-0.006693440428380187
20201211,74800,76000,74600,74900,2192025,-0.0026702269692923898
20201210,74200,75600,73500,74100,4092785,0.010796221322537112
20201209,75000,75600,74600,75000,2899525,-0.012
20201208,77500,77600,74800,74900,3843000,0.0013351134846461949
20201207,79000,79000,76100,77000,4473715,-0.02727272727272727
20201204,74800,78500,74200,77900,7808725,-0.011553273427471117
20201203,74600,74800,73800,74800,2321855,0.04144385026737968
20201202,75100,75100,74200,74600,2202500,0.002680965147453083
20201201,73900,75000,73800,74900,2263615,-0.004005340453938585
20201130,74600,74800,73600,73600,2724950,0.017663043478260868
20201127,75100,75500,74200,74600,1679180,-0.013404825737265416
20201126,73500,74900,73300,74800,2697850,-0.00267379679144385
20201125,75500,75500,73200,73400,3516395,0.01907356948228883
20201124,73300,75400,73300,74600,3248775,-0.0160857908847185
20201123,73700,73800,73000,73400,1815980,0.01634877384196185
20201120,73300,73600,72400,73100,1336330,0.004103967168262654
20201119,73500,74300,73100,73100,2150600,0.0
20201118,72000,73700,71900,73100,2422465,0.0
20201117,71600,73000,71200,72400,2261375,0.009668508287292817
20201116,74200,74300,71900,72400,2789935,0.0
20201113,71000,73200,71000,73100,2691030,-0.009575923392612859
20201112,72000,72900,71000,71500,2776395,0.022377622377622378
20201111,70300,71700,69500,71100,3569215,0.005625879043600563
20201110,71500,72300,70800,71200,5525500,-0.0014044943820224719
20201109,75000,75200,73500,74300,2968675,-0.04172274562584118
20201106,73400,76100,73100,74100,6577860,0.002699055330634278
20201105,71800,73700,70600,72600,5306835,0.02066115702479339
20201104,68100,72200,68000,71900,7155130,0.009735744089012517
20201103,66900,67800,66400,67300,2018930,0.06835066864784546
20201102,66100,67100,65600,66900,1599280,0.005979073243647235
20201030,68600,68800,66000,66000,2768740,0.013636363636363636
20201029,68400,69100,67700,68600,2457730,-0.037900874635568516
20201028,67100,69300,67000,69300,3147835,-0.010101010101010102
20201027,64900,68700,64900,66800,4063050,0.0374251497005988
20201026,67400,68200,65600,65900,3573610,0.013657056145675266
20201023,69700,70000,68000,68000,3112960,-0.030882352941176472
20201022,70300,70400,69100,69800,1881900,-0.025787965616045846
20201021,70200,72200,70200,70700,2581410,-0.01272984441301273
