일자,시가,고가,저가,종가,거래량,변화량
20201230,77400,81300,77300,81000,29417421,#VALUE!
20201229,78800,78900,77300,78300,30339449,0.034482759
20201228,79000,80100,78200,78700,40085044,-0.005082592
20201224,74100,78800,74000,77800,32502870,0.011568123
20201223,72400,74000,72300,73900,19411326,0.052774019
20201222,72500,73200,72100,72300,16304910,0.022130014
20201221,73100,73400,72000,73000,20367355,-0.009589041
20201218,73300,73700,73000,73000,17613029,0
20201217,73400,73700,72600,73300,24293214,-0.004092769
20201216,74100,74500,73400,73800,17512081,-0.006775068
20201215,73800,74100,73300,73800,20863671,0
20201214,73600,74500,73200,73800,21510415,0
20201211,73500,73800,73100,73400,18486672,0.005449591
20201210,72700,73800,72500,72900,39882928,0.006858711
20201209,72100,73900,72000,73900,24077996,-0.0135318
20201208,72200,72900,71600,71700,25000338,0.030683403
20201207,72400,73500,71900,72900,28490496,-0.016460905
20201204,70400,72100,70100,71500,28130533,0.01958042
20201203,70100,70500,69300,69700,23677989,0.025824964
20201202,68400,69900,68300,69500,29703942,0.002877698
20201201,67100,68300,67100,67800,22327173,0.025073746
20201130,68400,68600,66700,66700,43811016,0.016491754
20201127,68000,68400,67600,68200,14063434,-0.021994135
20201126,66100,68000,66000,68000,19023323,0.002941176
20201125,67900,68300,66500,66600,32447065,0.021021021
20201124,67900,69500,67000,67700,32158235,-0.016248154
20201123,64800,67800,64700,67500,27134398,0.002962963
20201120,63900,65200,63900,64700,15068682,0.043276662
20201119,64100,64800,63900,64600,16590290,0.001547988
20201118,65700,66200,64700,64800,22963790,-0.00308642
20201117,67000,67000,65600,65700,30204089,-0.01369863
20201116,64000,66700,63900,66300,36354334,-0.009049774
20201113,61300,63200,61000,63200,31508829,0.049050633
20201112,61000,61400,60700,61000,19800573,0.036065574
20201111,60700,61400,60400,61300,25628510,-0.004893964
20201110,60500,60500,59500,60200,19073552,0.018272425
20201109,60700,60900,60100,60200,15892961,0
20201106,60700,60800,59600,60100,16910230,0.001663894
20201105,59000,60300,58800,60300,20639475,-0.00331675
20201104,58900,59000,57800,58500,21718561,0.030769231
20201103,57900,58900,57600,58800,14950919,-0.005102041
20201102,56400,57500,56000,57400,20489076,0.024390244
20201030,58000,58000,56600,56600,26907844,0.014134276
20201029,58200,58500,57500,58100,22636966,-0.025817556
20201028,59400,59400,58800,59000,14428882,-0.015254237
20201027,60300,60300,59500,59800,17260416,-0.013377926
20201026,60400,61100,60100,60400,13268226,-0.009933775
20201023,60400,60400,59800,60200,9322232,0.003322259
20201022,60300,60500,59800,60100,14294095,0.001663894
20201021,61200,61500,60600,60900,15703443,-0.013136289
20201020,60300,60900,60100,60900,19326115,0
20201019,59600,60200,59500,60000,14474985,0.015
20201016,60000,60400,59000,59500,16554190,0.008403361
20201015,60700,60800,59700,60000,17756232,-0.008333333
20201014,61000,61100,60500,60900,16086716,-0.014778325
20201013,61000,61400,60400,60900,19247631,0
20201012,60000,60400,59900,60400,16145837,0.008278146
20201008,60500,60700,59500,59700,24589924,0.011725293
20201007,58700,59900,58500,59900,14861838,-0.003338898
20201006,59400,59900,58700,59000,14463826,0.015254237
20201005,57500,59200,57500,58700,20228289,0.005110733
20200929,58300,59000,58200,58200,15503563,0.008591065
20200928,58300,58800,57900,58200,12614080,0
20200925,57700,58200,57700,57900,11444683,0.005181347
20200924,57700,58600,57600,57800,17564020,0.001730104
20200923,58400,58800,57400,58600,20111398,-0.013651877
20200922,59100,59700,57800,58200,20830381,0.006872852
20200921,59100,60000,59000,59200,15140387,-0.016891892
20200918,59800,59900,59100,59300,18884571,-0.001686341
20200917,60700,60800,59300,59500,25108356,-0.003361345
20200916,61100,61300,60600,61000,17041444,-0.024590164
20200915,60900,61000,60500,61000,17877075,0
20200914,60200,60800,59900,60400,20648281,0.009933775
20200911,59300,59400,58200,59000,16017098,0.023728814
20200910,59900,60000,59100,59200,29923293,-0.003378378
20200909,58200,59300,57800,58400,30597399,0.01369863
20200908,57400,58700,57200,58700,31517520,-0.005110733
20200907,56100,57300,55800,56500,18685880,0.038938053
20200904,55200,55800,55100,55600,22139109,0.01618705
20200903,55600,56700,55500,56400,28384920,-0.014184397
20200902,54600,55100,54100,54400,16905723,0.036764706
20200901,54100,54800,54100,54200,19363117,0.003690037
20200831,56000,56100,54000,54000,32671367,0.003703704
20200828,56100,56300,55400,55400,14619888,-0.025270758
20200827,56300,56300,55600,55600,16196568,-0.003597122
20200826,56400,56500,55700,56400,17651593,-0.014184397
20200825,56400,56800,56100,56400,14021705,0
20200824,55800,56600,55400,56100,15055896,0.005347594
20200821,56200,56900,55800,55900,21142288,0.003577818
20200820,57600,57600,55300,55400,30386029,0.009025271
20200819,59000,59200,57800,57800,16930719,-0.041522491
20200818,58900,59900,58000,58400,25307825,-0.010273973
20200814,58000,58400,57700,58000,15672548,0.006896552
20200813,59400,59600,58000,58700,22089460,-0.011925043
20200812,58200,59000,57700,59000,18573934,-0.005084746
20200811,58000,59500,57800,58200,24907912,0.013745704
20200810,57600,58300,57500,57800,17774291,0.006920415
20200807,57900,58400,57100,57500,18751717,0.005217391
20200806,57100,58400,57100,58000,21625874,-0.00862069
20200805,57300,57500,56300,56900,17739706,0.019332162
20200804,57200,58100,57000,57300,19419694,-0.006980803
20200803,57800,57900,56700,56800,21158940,0.008802817
20200731,59500,59600,57700,57900,21943345,-0.018998273
20200730,59700,60100,59000,59000,19285354,-0.018644068
20200729,60300,60400,58600,59000,36476611,0
20200728,57000,58800,56400,58600,48431566,0.006825939
20200727,54300,55700,54300,55600,21054421,0.053956835
20200724,54000,54400,53700,54200,10994535,0.025830258
20200723,54700,54700,53800,54100,16214932,0.001848429
20200722,55300,55500,54700,54700,12885057,-0.010968921
20200721,55200,55400,54800,55300,18297260,-0.01084991
20200720,54800,54800,54000,54200,10507530,0.020295203
20200717,54200,54700,54100,54400,10096174,-0.003676471
20200716,54800,54800,53800,53800,16779127,0.011152416
20200715,54400,55000,54300,54700,24051450,-0.016453382
20200714,53700,53800,53200,53800,14269484,0.016728625
20200713,53300,53800,53100,53400,12240188,0.007490637
20200710,53100,53200,52300,52700,13714746,0.013282732
20200709,53200,53600,52800,52800,17054850,-0.001893939
20200708,53600,53900,52900,53000,19664652,-0.003773585
20200707,55800,55900,53400,53400,30760032,-0.007490637
20200706,54000,55000,53800,55000,19856623,-0.029090909
20200703,53000,53600,52700,53600,11887868,0.026119403
20200702,52100,52900,52100,52900,14142583,0.013232514
20200701,53400,53600,52400,52600,16706143,0.005703422
20200630,53900,53900,52800,52800,21157172,-0.003787879
20200629,52500,53200,52000,52400,17776925,0.007633588
20200626,52800,53900,52200,53300,21575360,-0.016885553
20200625,52100,53000,51900,51900,18541624,0.026974952
20200624,51900,53900,51600,52900,24519552,-0.018903592
20200623,52500,52800,51100,51400,18086152,0.029182879
20200622,52000,52600,51800,52000,13801350,-0.011538462
20200619,52600,52900,51600,52900,18157985,-0.017013233
20200618,52200,52300,51600,52300,15982926,0.011472275
20200617,52100,52900,51300,52200,26672595,0.001915709
20200616,51200,52100,50600,52100,21808375,0.001919386
20200615,51400,52000,49900,49900,28772921,0.044088176
20200612,52100,52800,51500,52300,26976019,-0.045889101
20200611,54500,55100,53200,54300,33815123,-0.036832413
20200610,55100,55900,54900,55400,16742493,-0.019855596
20200609,55800,56500,54400,55500,23998831,-0.001801802
20200608,56400,56500,54700,54900,25634965,0.010928962
20200605,54400,55900,54000,55500,22743629,-0.010810811
20200604,55800,57000,54600,54600,40220334,0.016483516
20200603,51800,55000,51700,54500,49257814,0.001834862
20200602,51000,51500,50800,51400,14247933,0.060311284
20200601,50800,51200,50600,51200,16949183,0.00390625
20200529,50000,50700,49700,50700,27596961,0.009861933
20200528,51100,51200,49900,50400,31309318,0.005952381
20200527,48950,50000,48800,49900,19548479,0.01002004
20200526,48700,49450,48600,49250,15127490,0.01319797
20200525,48750,48900,48450,48850,14337913,0.008188332
20200522,49600,49800,48600,48750,19706284,0.002051282
20200521,50300,50400,49850,49950,14949266,-0.024024024
20200520,50000,50200,49800,50000,14896899,-0.001
20200519,50100,50500,49700,50300,25168295,-0.005964215
20200518,47950,49100,47600,48800,20481981,0.030737705
20200515,48400,48450,47700,47850,18463118,0.01985371
20200514,47750,48100,47650,48000,19305974,-0.003125
20200513,47250,48550,47200,48550,20223277,-0.011328527
