,회사명,날짜,언론사,기사제목,링크,본문
0,삼성전자, 2017-01-0709:00,아시아경제 ,"""올해 CES 관심은 자율주행과 전기차에 집중""",https://finance.naver.com/news/news_read.nhn?article_id=0003907672&office_id=277&mode=search&query=LG이노텍&page=1,"['       ""올해 CES 관심은 자율주행과 전기차에 집중""      기사입력2017-01-07 09:00기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글[아시아경제 박선미 기자]자율주행과 전기자동차가 올해에도 CES(가전전시회)의 핵심테마로 부상하며 이에대한 주식시장의 관심이 높아지고 있다.대신증권의 박강호, 정연우, 박양주 연구원은 7일 \'자율주행과 전기자동차 금년에도 핵심 테마\'라는 주제의 보고서를 통해 ""올해 자율주행 적용 확대의 수혜 분야에 주목해야 한다""고 조언했다.2017년 CES의 관심은 자율주행, 커넥티드카, 전기자동차로 요약된다. 전통적인 IT 제품인 TV, 스마트폰, 가전 중심의 신기술과 신제품의 전시 보다 신성장 분야로 평가되는 전기자동차 관련 신사업과 신기술이 중심을 이루고 있다. 삼성전자가 하만 기업 인수를 통해 전장부품 사업에 진출했고, LG전자도 통합솔루션 부품 공급업체로 성장하고 있다. 애플과 구글은 스마트 기기 시장에서 경쟁력을 보유한 운영체제(OS), 다양한 앱 및 스마트 기기 시장을 확보한 생태계 우위로 자율주행의 초기 시장을 선점하려는 노력을 진행 중이다.게다가  한국 정부는 지난해 12월 신사업 민관협의회에서 전기, 자율차 산업을 4차 산업혁명의 중추적인 성장 분야로 선정했다.박강호, 정연우, 박양주 연구원은 ""정부의 정책적 지원과 이번 CES의 화두인 자율주행에 대한 시장관심이 높아질 것""이라며 ""자율주행의 여러가지 어플리케이션 중 카메라모듈과 레이다, 적외선 열화상센 서모듈, V2X 통신모듈, 차량용 반도체, ADAS 완제품 생산업체들이 자율주행 시장확대 에 따른 수혜를 볼 것으로 판단한다""고 설명했다.자율주행 관련 기업으로는 ▲전장부품 분야의 LG전자, LG이노텍 ▲카메라모듈 분야의 세코닉스, 엠씨넥스, 옵트론텍 ▲레이다 분야는 에이스테크놀로지 ▲적외선 센서모듈 분야는 아이쓰리시스템, 트루윈 ▲V2X 분야는 켐트로닉스, MDS테크 ▲보안솔류션 부문은 한국정보인증 ▲차량용 반도체 분야는 유니퀘스트, 유니트론텍, 아이에이 ▲ADAS 분야는 피케이엘테크놀로지(비상장) 등을 꼽았다.박선미 기자 psm82@asiae.co.kr▶ 최강의 재미 [아시아경제 카드뉴스]▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.[속보]""한국기자 처벌"" 덴마크 검찰이…\'충격\'[속보]친한 동기라던 이슬비 대위 정체…\'반전\'[속보]""반기문, 알면서…"" 전원책 충격 폭로[속보]""큰일났다"" 탄핵기간에 북한 전격…""민주당서 10명 탈당"" 정청래 긴급히…좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
1,삼성전자, 2017-01-0708:18,헤럴드경제 ,루저의 반란?…‘중소형주가 달라졌어요’,https://finance.naver.com/news/news_read.nhn?article_id=0001180794&office_id=016&mode=search&query=LG이노텍&page=1,"['       루저의 반란?…‘중소형주가 달라졌어요’      기사입력2017-01-07 08:18기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [헤럴드경제=양영경 기자] 지난해 연말 증시에서 낙폭이 컸던 중소형주의 수익률이 대형주를 앞서나가기 시작했다. 연말ㆍ연초 낙폭 과대주의 상대적인 강세 현상이 올해 1~2월에도 재현될 조짐을 보이면서 투자자들의 관심이 집중되고 있다.7일 금융투자업계에 따르면 주식시장 전반에는 코스닥 중소형주를 중심으로 ‘1월 효과’ 훈풍이 번지고 있다.\xa0지난해 12월 이후 코스피는 2.95% 올랐고, 코스닥은 7.78% 상승하며 지난해 10월 말 이후 처음으로 640포인트를 넘어섰다. 최근 일주일간 코스피와 코스닥은 각각 0.76%, 1.75% 오르며 지난해 연말부터 시작된 상승세를 이어가고 있다. 새해 첫 거래일인 지난 2일 이후 코스닥 종목의 성과를 시가총액별로 분류해보면 코스닥 소형주(2.92%)와 코스닥 중형주(1.76%) 순으로 지수 상승에 기여했다. 코스피 역시 대형주(0.69%)보다는 중형주(0.68%)와 소형주(1.92%)의 활약으로 상승폭을 키웠다. 미국 대선에서 도널드 트럼프가 당선된 데 따른 인플레이션 기대감이 일단락된 것은 이 같은 현상을 만든 것으로 분석된다. 트럼프 당선, 석유수출국기구(OPEC) 회의 후 금리와 유가 등이 급등하면서 인플레이션 수혜 대형주가 증시를 주도했지만, 금리가 반락하고 유가 상승 탄력이 둔화되는 모습이 나타나면서 상황이 반전되고 있다. 대형주의 실적 차별화 현상이 약화된 점도 이유로 꼽힌다. 대형주는 지난해 3분기 실적 부진 이후 실적 전망이 하향 조정됐다. 최근 환율 상승으로 대형 수출주를 중심으로 실적 전망이 개선되고 있지만, 코스피ㆍ코스닥 두 시장의 이익수정비율은 큰 차이가 없다.\xa0오히려 올해 주당순이익(EPS) 기준으로는 코스닥의 이익수정비율이 코스피의 비율을 웃돌기 시작했다. 통계적으로도 연말ㆍ연초에는 낙폭이 컸던 종목이 시장 수익률을 넘어섰다. 여기엔 투자자들이 차익실현에 나선 후 다음해 실적 개선 기대가 높아지는 종목을 선취매하는 포트폴리오 리밸런싱 효과가 일정 부분 작용했다. 증권가에선 이 같은 중소형주 강세 현상이 2월까지 지속된 뒤, 3월부터는 분위기가 다시 변할 수 있다고 보고 있다. 일반적으로 1분기 실적 프리뷰(Preview)는 3월 중순부터 등장한다. 반등했던 종목 중 다시 옥석을 가리려는 투자자들의 전략이 펼쳐질 가능성이 크다는 전망이 나온다. 또 이익수정비율도 3월부터 개선되기 시작하는데, 이로 인해 주가나 밸류에이션(평가 가치)보다는 실적의 영향력이 확대되고 새로운 주도주가 부각되기도 한다. 통상 유가가 미 드라이빙 시즌 선수요로 인해 3월 전후로 움직이는 경우가 많다는 점도 인플레이션 수혜주가 강세를 보일 수 있는 배경으로 거론된다. 미 재고 증가 가능성과 OPEC의 감산합의 이행에 대한 불확실성으로 유가 상승 탄력은 약화될 수 있다. 변준호 HMC투자증권 연구원은 “금융위기 이후 크게 상승한 종목 대비 낙폭 과대 종목의 1~2월 주가 갭 메우기는 두 달동안 평균 4~5% 진행된 것으로 분석되고 있어 상대 성과는 추가로 개선될 여지가 높다”며 “최근 강세를 보인 종목군 중 실적 전망이 개선되고 있는 LG 그룹주(LG전자, LG이노텍, LG 등), 자동차 관련주(현대차, 기아차, 현대위아 등)와 낙폭 과대 코스닥 종목군에 대한 관심을 확대할 필요가 있다”고 조언했다.ana@heraldcorp.com▶초등영어 대세, 헤럴드 큐빅(Qbig)▶오늘의 띠별 운세 ▶나만의 변호사 찾기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -헤럴드경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""교도관, 최순실 씨 심부름꾼 같았다…장시호도 같은 특혜"" 수감자 증언정윤회 ""장모가 역삼동 건물 2채 챙겨줘, 최순실 종잣돈""실체 드러난 \'백 선생\', ""73살 불법시술 전과자""유시민 영입하려는 문재인? ""운명처럼 정치가 부를 것""전원책 ""자제를 못했다…그래도 내 역할은 해줘야""좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
,회사명,날짜,언론사,기사제목,링크,본문
0,삼성전자, 2017-01-0709:00,아시아경제 ,"""올해 CES 관심은 자율주행과 전기차에 집중""",https://finance.naver.com/news/news_read.nhn?article_id=0003907672&office_id=277&mode=search&query=LG이노텍&page=1,"['       ""올해 CES 관심은 자율주행과 전기차에 집중""      기사입력2017-01-07 09:00기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글[아시아경제 박선미 기자]자율주행과 전기자동차가 올해에도 CES(가전전시회)의 핵심테마로 부상하며 이에대한 주식시장의 관심이 높아지고 있다.대신증권의 박강호, 정연우, 박양주 연구원은 7일 \'자율주행과 전기자동차 금년에도 핵심 테마\'라는 주제의 보고서를 통해 ""올해 자율주행 적용 확대의 수혜 분야에 주목해야 한다""고 조언했다.2017년 CES의 관심은 자율주행, 커넥티드카, 전기자동차로 요약된다. 전통적인 IT 제품인 TV, 스마트폰, 가전 중심의 신기술과 신제품의 전시 보다 신성장 분야로 평가되는 전기자동차 관련 신사업과 신기술이 중심을 이루고 있다. 삼성전자가 하만 기업 인수를 통해 전장부품 사업에 진출했고, LG전자도 통합솔루션 부품 공급업체로 성장하고 있다. 애플과 구글은 스마트 기기 시장에서 경쟁력을 보유한 운영체제(OS), 다양한 앱 및 스마트 기기 시장을 확보한 생태계 우위로 자율주행의 초기 시장을 선점하려는 노력을 진행 중이다.게다가  한국 정부는 지난해 12월 신사업 민관협의회에서 전기, 자율차 산업을 4차 산업혁명의 중추적인 성장 분야로 선정했다.박강호, 정연우, 박양주 연구원은 ""정부의 정책적 지원과 이번 CES의 화두인 자율주행에 대한 시장관심이 높아질 것""이라며 ""자율주행의 여러가지 어플리케이션 중 카메라모듈과 레이다, 적외선 열화상센 서모듈, V2X 통신모듈, 차량용 반도체, ADAS 완제품 생산업체들이 자율주행 시장확대 에 따른 수혜를 볼 것으로 판단한다""고 설명했다.자율주행 관련 기업으로는 ▲전장부품 분야의 LG전자, LG이노텍 ▲카메라모듈 분야의 세코닉스, 엠씨넥스, 옵트론텍 ▲레이다 분야는 에이스테크놀로지 ▲적외선 센서모듈 분야는 아이쓰리시스템, 트루윈 ▲V2X 분야는 켐트로닉스, MDS테크 ▲보안솔류션 부문은 한국정보인증 ▲차량용 반도체 분야는 유니퀘스트, 유니트론텍, 아이에이 ▲ADAS 분야는 피케이엘테크놀로지(비상장) 등을 꼽았다.박선미 기자 psm82@asiae.co.kr▶ 최강의 재미 [아시아경제 카드뉴스]▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.[속보]""한국기자 처벌"" 덴마크 검찰이…\'충격\'[속보]친한 동기라던 이슬비 대위 정체…\'반전\'[속보]""반기문, 알면서…"" 전원책 충격 폭로[속보]""큰일났다"" 탄핵기간에 북한 전격…""민주당서 10명 탈당"" 정청래 긴급히…좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
1,삼성전자, 2017-01-0708:18,헤럴드경제 ,루저의 반란?…‘중소형주가 달라졌어요’,https://finance.naver.com/news/news_read.nhn?article_id=0001180794&office_id=016&mode=search&query=LG이노텍&page=1,"['       루저의 반란?…‘중소형주가 달라졌어요’      기사입력2017-01-07 08:18기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [헤럴드경제=양영경 기자] 지난해 연말 증시에서 낙폭이 컸던 중소형주의 수익률이 대형주를 앞서나가기 시작했다. 연말ㆍ연초 낙폭 과대주의 상대적인 강세 현상이 올해 1~2월에도 재현될 조짐을 보이면서 투자자들의 관심이 집중되고 있다.7일 금융투자업계에 따르면 주식시장 전반에는 코스닥 중소형주를 중심으로 ‘1월 효과’ 훈풍이 번지고 있다.\xa0지난해 12월 이후 코스피는 2.95% 올랐고, 코스닥은 7.78% 상승하며 지난해 10월 말 이후 처음으로 640포인트를 넘어섰다. 최근 일주일간 코스피와 코스닥은 각각 0.76%, 1.75% 오르며 지난해 연말부터 시작된 상승세를 이어가고 있다. 새해 첫 거래일인 지난 2일 이후 코스닥 종목의 성과를 시가총액별로 분류해보면 코스닥 소형주(2.92%)와 코스닥 중형주(1.76%) 순으로 지수 상승에 기여했다. 코스피 역시 대형주(0.69%)보다는 중형주(0.68%)와 소형주(1.92%)의 활약으로 상승폭을 키웠다. 미국 대선에서 도널드 트럼프가 당선된 데 따른 인플레이션 기대감이 일단락된 것은 이 같은 현상을 만든 것으로 분석된다. 트럼프 당선, 석유수출국기구(OPEC) 회의 후 금리와 유가 등이 급등하면서 인플레이션 수혜 대형주가 증시를 주도했지만, 금리가 반락하고 유가 상승 탄력이 둔화되는 모습이 나타나면서 상황이 반전되고 있다. 대형주의 실적 차별화 현상이 약화된 점도 이유로 꼽힌다. 대형주는 지난해 3분기 실적 부진 이후 실적 전망이 하향 조정됐다. 최근 환율 상승으로 대형 수출주를 중심으로 실적 전망이 개선되고 있지만, 코스피ㆍ코스닥 두 시장의 이익수정비율은 큰 차이가 없다.\xa0오히려 올해 주당순이익(EPS) 기준으로는 코스닥의 이익수정비율이 코스피의 비율을 웃돌기 시작했다. 통계적으로도 연말ㆍ연초에는 낙폭이 컸던 종목이 시장 수익률을 넘어섰다. 여기엔 투자자들이 차익실현에 나선 후 다음해 실적 개선 기대가 높아지는 종목을 선취매하는 포트폴리오 리밸런싱 효과가 일정 부분 작용했다. 증권가에선 이 같은 중소형주 강세 현상이 2월까지 지속된 뒤, 3월부터는 분위기가 다시 변할 수 있다고 보고 있다. 일반적으로 1분기 실적 프리뷰(Preview)는 3월 중순부터 등장한다. 반등했던 종목 중 다시 옥석을 가리려는 투자자들의 전략이 펼쳐질 가능성이 크다는 전망이 나온다. 또 이익수정비율도 3월부터 개선되기 시작하는데, 이로 인해 주가나 밸류에이션(평가 가치)보다는 실적의 영향력이 확대되고 새로운 주도주가 부각되기도 한다. 통상 유가가 미 드라이빙 시즌 선수요로 인해 3월 전후로 움직이는 경우가 많다는 점도 인플레이션 수혜주가 강세를 보일 수 있는 배경으로 거론된다. 미 재고 증가 가능성과 OPEC의 감산합의 이행에 대한 불확실성으로 유가 상승 탄력은 약화될 수 있다. 변준호 HMC투자증권 연구원은 “금융위기 이후 크게 상승한 종목 대비 낙폭 과대 종목의 1~2월 주가 갭 메우기는 두 달동안 평균 4~5% 진행된 것으로 분석되고 있어 상대 성과는 추가로 개선될 여지가 높다”며 “최근 강세를 보인 종목군 중 실적 전망이 개선되고 있는 LG 그룹주(LG전자, LG이노텍, LG 등), 자동차 관련주(현대차, 기아차, 현대위아 등)와 낙폭 과대 코스닥 종목군에 대한 관심을 확대할 필요가 있다”고 조언했다.ana@heraldcorp.com▶초등영어 대세, 헤럴드 큐빅(Qbig)▶오늘의 띠별 운세 ▶나만의 변호사 찾기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -헤럴드경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""교도관, 최순실 씨 심부름꾼 같았다…장시호도 같은 특혜"" 수감자 증언정윤회 ""장모가 역삼동 건물 2채 챙겨줘, 최순실 종잣돈""실체 드러난 \'백 선생\', ""73살 불법시술 전과자""유시민 영입하려는 문재인? ""운명처럼 정치가 부를 것""전원책 ""자제를 못했다…그래도 내 역할은 해줘야""좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
,회사명,날짜,언론사,기사제목,링크,본문
0,삼성전자, 2017-01-0709:00,아시아경제 ,"""올해 CES 관심은 자율주행과 전기차에 집중""",https://finance.naver.com/news/news_read.nhn?article_id=0003907672&office_id=277&mode=search&query=LG이노텍&page=1,"['       ""올해 CES 관심은 자율주행과 전기차에 집중""      기사입력2017-01-07 09:00기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글[아시아경제 박선미 기자]자율주행과 전기자동차가 올해에도 CES(가전전시회)의 핵심테마로 부상하며 이에대한 주식시장의 관심이 높아지고 있다.대신증권의 박강호, 정연우, 박양주 연구원은 7일 \'자율주행과 전기자동차 금년에도 핵심 테마\'라는 주제의 보고서를 통해 ""올해 자율주행 적용 확대의 수혜 분야에 주목해야 한다""고 조언했다.2017년 CES의 관심은 자율주행, 커넥티드카, 전기자동차로 요약된다. 전통적인 IT 제품인 TV, 스마트폰, 가전 중심의 신기술과 신제품의 전시 보다 신성장 분야로 평가되는 전기자동차 관련 신사업과 신기술이 중심을 이루고 있다. 삼성전자가 하만 기업 인수를 통해 전장부품 사업에 진출했고, LG전자도 통합솔루션 부품 공급업체로 성장하고 있다. 애플과 구글은 스마트 기기 시장에서 경쟁력을 보유한 운영체제(OS), 다양한 앱 및 스마트 기기 시장을 확보한 생태계 우위로 자율주행의 초기 시장을 선점하려는 노력을 진행 중이다.게다가  한국 정부는 지난해 12월 신사업 민관협의회에서 전기, 자율차 산업을 4차 산업혁명의 중추적인 성장 분야로 선정했다.박강호, 정연우, 박양주 연구원은 ""정부의 정책적 지원과 이번 CES의 화두인 자율주행에 대한 시장관심이 높아질 것""이라며 ""자율주행의 여러가지 어플리케이션 중 카메라모듈과 레이다, 적외선 열화상센 서모듈, V2X 통신모듈, 차량용 반도체, ADAS 완제품 생산업체들이 자율주행 시장확대 에 따른 수혜를 볼 것으로 판단한다""고 설명했다.자율주행 관련 기업으로는 ▲전장부품 분야의 LG전자, LG이노텍 ▲카메라모듈 분야의 세코닉스, 엠씨넥스, 옵트론텍 ▲레이다 분야는 에이스테크놀로지 ▲적외선 센서모듈 분야는 아이쓰리시스템, 트루윈 ▲V2X 분야는 켐트로닉스, MDS테크 ▲보안솔류션 부문은 한국정보인증 ▲차량용 반도체 분야는 유니퀘스트, 유니트론텍, 아이에이 ▲ADAS 분야는 피케이엘테크놀로지(비상장) 등을 꼽았다.박선미 기자 psm82@asiae.co.kr▶ 최강의 재미 [아시아경제 카드뉴스]▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.[속보]""한국기자 처벌"" 덴마크 검찰이…\'충격\'[속보]친한 동기라던 이슬비 대위 정체…\'반전\'[속보]""반기문, 알면서…"" 전원책 충격 폭로[속보]""큰일났다"" 탄핵기간에 북한 전격…""민주당서 10명 탈당"" 정청래 긴급히…좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
1,삼성전자, 2017-01-0708:18,헤럴드경제 ,루저의 반란?…‘중소형주가 달라졌어요’,https://finance.naver.com/news/news_read.nhn?article_id=0001180794&office_id=016&mode=search&query=LG이노텍&page=1,"['       루저의 반란?…‘중소형주가 달라졌어요’      기사입력2017-01-07 08:18기사원문좋아요훈훈해요좋아요 평가하기공감좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0댓글 [헤럴드경제=양영경 기자] 지난해 연말 증시에서 낙폭이 컸던 중소형주의 수익률이 대형주를 앞서나가기 시작했다. 연말ㆍ연초 낙폭 과대주의 상대적인 강세 현상이 올해 1~2월에도 재현될 조짐을 보이면서 투자자들의 관심이 집중되고 있다.7일 금융투자업계에 따르면 주식시장 전반에는 코스닥 중소형주를 중심으로 ‘1월 효과’ 훈풍이 번지고 있다.\xa0지난해 12월 이후 코스피는 2.95% 올랐고, 코스닥은 7.78% 상승하며 지난해 10월 말 이후 처음으로 640포인트를 넘어섰다. 최근 일주일간 코스피와 코스닥은 각각 0.76%, 1.75% 오르며 지난해 연말부터 시작된 상승세를 이어가고 있다. 새해 첫 거래일인 지난 2일 이후 코스닥 종목의 성과를 시가총액별로 분류해보면 코스닥 소형주(2.92%)와 코스닥 중형주(1.76%) 순으로 지수 상승에 기여했다. 코스피 역시 대형주(0.69%)보다는 중형주(0.68%)와 소형주(1.92%)의 활약으로 상승폭을 키웠다. 미국 대선에서 도널드 트럼프가 당선된 데 따른 인플레이션 기대감이 일단락된 것은 이 같은 현상을 만든 것으로 분석된다. 트럼프 당선, 석유수출국기구(OPEC) 회의 후 금리와 유가 등이 급등하면서 인플레이션 수혜 대형주가 증시를 주도했지만, 금리가 반락하고 유가 상승 탄력이 둔화되는 모습이 나타나면서 상황이 반전되고 있다. 대형주의 실적 차별화 현상이 약화된 점도 이유로 꼽힌다. 대형주는 지난해 3분기 실적 부진 이후 실적 전망이 하향 조정됐다. 최근 환율 상승으로 대형 수출주를 중심으로 실적 전망이 개선되고 있지만, 코스피ㆍ코스닥 두 시장의 이익수정비율은 큰 차이가 없다.\xa0오히려 올해 주당순이익(EPS) 기준으로는 코스닥의 이익수정비율이 코스피의 비율을 웃돌기 시작했다. 통계적으로도 연말ㆍ연초에는 낙폭이 컸던 종목이 시장 수익률을 넘어섰다. 여기엔 투자자들이 차익실현에 나선 후 다음해 실적 개선 기대가 높아지는 종목을 선취매하는 포트폴리오 리밸런싱 효과가 일정 부분 작용했다. 증권가에선 이 같은 중소형주 강세 현상이 2월까지 지속된 뒤, 3월부터는 분위기가 다시 변할 수 있다고 보고 있다. 일반적으로 1분기 실적 프리뷰(Preview)는 3월 중순부터 등장한다. 반등했던 종목 중 다시 옥석을 가리려는 투자자들의 전략이 펼쳐질 가능성이 크다는 전망이 나온다. 또 이익수정비율도 3월부터 개선되기 시작하는데, 이로 인해 주가나 밸류에이션(평가 가치)보다는 실적의 영향력이 확대되고 새로운 주도주가 부각되기도 한다. 통상 유가가 미 드라이빙 시즌 선수요로 인해 3월 전후로 움직이는 경우가 많다는 점도 인플레이션 수혜주가 강세를 보일 수 있는 배경으로 거론된다. 미 재고 증가 가능성과 OPEC의 감산합의 이행에 대한 불확실성으로 유가 상승 탄력은 약화될 수 있다. 변준호 HMC투자증권 연구원은 “금융위기 이후 크게 상승한 종목 대비 낙폭 과대 종목의 1~2월 주가 갭 메우기는 두 달동안 평균 4~5% 진행된 것으로 분석되고 있어 상대 성과는 추가로 개선될 여지가 높다”며 “최근 강세를 보인 종목군 중 실적 전망이 개선되고 있는 LG 그룹주(LG전자, LG이노텍, LG 등), 자동차 관련주(현대차, 기아차, 현대위아 등)와 낙폭 과대 코스닥 종목군에 대한 관심을 확대할 필요가 있다”고 조언했다.ana@heraldcorp.com▶초등영어 대세, 헤럴드 큐빅(Qbig)▶오늘의 띠별 운세 ▶나만의 변호사 찾기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -헤럴드경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.""교도관, 최순실 씨 심부름꾼 같았다…장시호도 같은 특혜"" 수감자 증언정윤회 ""장모가 역삼동 건물 2채 챙겨줘, 최순실 종잣돈""실체 드러난 \'백 선생\', ""73살 불법시술 전과자""유시민 영입하려는 문재인? ""운명처럼 정치가 부를 것""전원책 ""자제를 못했다…그래도 내 역할은 해줘야""좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0기사제공 :']"
,회사명,날짜,언론사,기사제목,링크,본문
