일자,시가,고가,저가,종가,거래량
20210420,306500,308000,300500,301000,823138
20210419,308000,313500,305500,309500,569414
20210416,310500,312000,306500,308000,378139
20210415,314500,315000,309000,309500,547071
20210414,317000,319000,313000,315000,407935
20210413,312500,319000,309000,316000,573517
20210412,309500,311000,306000,310500,342305
20210409,312500,314500,309000,309500,347094
20210408,306500,311500,303000,311500,486544
20210407,304000,312000,303000,306000,458016
20210406,309000,313000,302000,303500,634988
20210405,318000,319000,307000,308000,716852
20210402,324500,326000,318000,320500,500451
20210401,323500,327500,318000,324500,528893
20210331,326500,330000,322500,324500,529579
20210330,328500,329000,323000,323500,614957
20210329,332500,334500,322000,330500,1786627
20210326,311500,316500,304000,314000,815381
20210325,301500,307500,299000,307500,585517
20210324,294000,302000,292000,300000,567246
20210323,294000,304000,291000,292500,718171
20210322,290000,294500,286000,289000,465736
20210319,288000,290500,284000,287000,459008
20210318,295500,299500,292000,292000,401776
20210317,296500,298000,291000,293500,360539
20210316,290500,298000,289000,296500,410799
20210315,296500,297000,289000,289000,474511
20210312,296000,301000,293000,297000,416941
20210311,285500,296500,284500,293000,660641
20210310,291500,296500,284000,285500,494901
20210309,288000,292000,280500,287500,853291
20210308,304000,304000,290500,291000,595881
20210305,305000,307000,300000,301500,469774
20210304,303000,310000,297500,306500,772420
20210303,292500,306000,290000,303000,878080
20210302,302500,307000,288500,291500,909178
20210226,300000,304000,292000,297500,1062427
20210225,290500,309000,286500,308000,1378139
20210224,292500,301000,282000,282000,1494863
20210223,311000,312500,296000,296000,1261921
20210222,322000,322500,308500,309500,725100
20210219,310500,318500,306000,318500,855583
20210218,320000,326500,314500,314500,671084
20210217,324500,329000,315500,321500,951224
20210216,335000,335500,324500,325000,827534
20210215,340000,343500,333000,333000,1188210
20210210,326500,332000,324500,332000,734865
20210209,336000,337500,328000,328000,984780
20210208,350000,351500,336000,336000,784558
20210205,347500,355000,335000,341500,1997418
20210204,345000,349500,337500,341500,1099579
20210203,357500,359500,338000,347500,1922464
20210202,370000,370000,352500,355500,2321590
20210201,334000,383000,333000,371000,6018601
20210129,334500,339000,322500,324000,1076910
20210128,319500,338000,316000,334500,1488920
20210127,326000,333000,318000,329000,1013961
20210126,327500,335000,321500,322500,1256043
20210125,311500,322000,311000,321000,941127
20210122,312500,315500,308000,310000,835242
