일자,시가,고가,저가,종가,거래량,변화량
20201230,116000,118500,114500,118500,4195192,0.0
20201229,118000,118500,114000,116000,4208916,0.021551724137931036
20201228,119000,119500,115000,115500,4825132,0.004329004329004329
20201224,116000,118500,115500,118000,3486636,-0.0211864406779661
20201223,113000,116000,112500,116000,3173156,0.017241379310344827
20201222,115000,115500,112500,112500,4270842,0.03111111111111111
20201221,118000,118000,114500,116000,3585805,-0.03017241379310345
20201218,118500,119000,117500,118500,3010798,-0.02109704641350211
20201217,118500,119500,117000,119500,3649945,-0.008368200836820083
20201216,119000,119500,117000,117500,2213552,0.01702127659574468
20201215,118500,118500,115000,117500,2755902,0.0
20201214,116000,119000,115500,117000,3066761,0.004273504273504274
20201211,118000,118000,115000,115500,3944552,0.012987012987012988
20201210,117000,118500,115500,116500,8205744,-0.008583690987124463
20201209,116000,121000,115000,120500,5490760,-0.03319502074688797
20201208,118000,118000,114000,115000,4536460,0.04782608695652174
20201207,118500,120000,116000,118000,5191354,-0.025423728813559324
20201204,116000,119500,112500,115000,8258814,0.02608695652173913
20201203,110500,114500,109000,111500,6617912,0.03139013452914798
20201202,103000,109500,103000,109000,7488361,0.022935779816513763
20201201,98600,101500,97800,100500,4455519,0.0845771144278607
20201130,99700,99800,97300,97500,3877841,0.03076923076923077
20201127,99600,99900,98200,98800,1976047,-0.013157894736842105
20201126,96800,99500,96300,99400,2933290,-0.006036217303822937
20201125,100500,100500,96300,97200,4081524,0.02263374485596708
20201124,101000,102000,98300,98600,3766043,-0.014198782961460446
20201123,97300,101000,96600,100000,4149013,-0.014
20201120,99000,99000,96800,96800,2424003,0.03305785123966942
20201119,96200,98300,96000,98200,2766688,-0.014256619144602852
20201118,99800,100500,96600,98000,3734037,0.0020408163265306124
20201117,97400,99600,96500,98100,5218295,-0.0010193679918450561
20201116,92100,98100,91100,98000,9274278,0.0010204081632653062
20201113,88100,90000,87500,89700,3774278,0.09253065774804906
20201112,87600,88400,87000,88100,4006433,0.018161180476730987
20201111,86100,87200,85900,87000,2638617,0.01264367816091954
20201110,86900,87200,85900,86500,2849783,0.005780346820809248
20201109,86500,87300,85600,86000,2444330,0.005813953488372093
20201106,86500,87700,86000,86300,2863808,-0.0034762456546929316
20201105,84100,86200,83300,86100,4082325,0.0023228803716608595
20201104,82100,84400,81200,83200,3782296,0.03485576923076923
20201103,79600,81400,79600,81400,2057723,0.022113022113022112
20201102,80200,80600,79200,79600,2000394,0.022613065326633167
20201030,81600,82100,79900,79900,2710477,-0.0037546933667083854
20201029,81900,82400,81000,81700,2637314,-0.022031823745410038
20201028,82100,83600,82000,82900,1773556,-0.014475271411338963
20201027,82300,83400,81800,82600,2265817,0.0036319612590799033
20201026,84300,84700,83000,83200,1662847,-0.007211538461538462
20201023,82800,84700,82300,83900,2609595,-0.00834326579261025
20201022,84200,84300,82500,83300,2593975,0.007202881152460984
20201021,85300,86200,82800,83800,4925877,-0.0059665871121718375
20201020,85300,90900,83700,85200,6622637,-0.01643192488262911
20201019,86100,87900,85800,86700,3150011,-0.01730103806228374
20201016,87000,87900,84900,85300,2435541,0.016412661195779603
20201015,86100,87300,85900,87100,2802900,-0.02066590126291619
20201014,88000,88900,86100,86500,3223767,0.006936416184971098
20201013,85500,89000,84600,88200,6375448,-0.01927437641723356
20201012,83900,85500,83500,85500,4464264,0.031578947368421054
20201008,84300,84500,82900,82900,3330824,0.031363088057901084
20201007,82900,83700,82500,83400,2254356,-0.005995203836930456
20201006,84000,84200,82600,83000,2750145,0.004819277108433735
20201005,83000,84100,82300,83200,3396894,-0.002403846153846154
20200929,83100,84900,82200,84000,4707898,-0.009523809523809525
20200928,83400,83700,81300,82500,3154068,0.01818181818181818
20200925,85800,85900,82200,82900,3205596,-0.0048250904704463205
20200924,82800,85400,82300,84300,6401560,-0.0166073546856465
20200923,82300,84800,80500,83600,4439085,0.008373205741626795
20200922,84400,84800,80200,81300,4139983,0.028290282902829027
20200921,83700,85000,83600,84500,4102947,-0.0378698224852071
20200918,82900,83900,82200,83700,5199334,0.009557945041816009
20200917,81900,82900,81200,82200,4055050,0.01824817518248175
20200916,81700,82400,80500,81500,3119110,0.008588957055214725
20200915,81300,82100,80200,81900,5899410,-0.004884004884004884
20200914,79100,80100,78900,80000,4099644,0.02375
20200911,76700,78500,76300,78400,2831262,0.02040816326530612
20200910,78000,78200,76600,76600,3541520,0.02349869451697128
20200909,77900,78400,77200,77300,3918435,-0.009055627425614488
20200908,78700,80000,78200,79400,3380355,-0.02644836272040302
20200907,78600,79500,77600,78400,2786930,0.012755102040816327
20200904,76400,79400,76100,78700,4582566,-0.0038119440914866584
20200903,77700,79700,77200,78700,7002529,0.0
20200902,75900,76400,74900,75500,2369360,0.0423841059602649
20200901,75200,76500,75200,75200,2538676,0.003989361702127659
20200831,78200,78800,75100,75100,5113128,0.0013315579227696406
20200828,79500,79600,77700,77800,2511956,-0.03470437017994859
20200827,80200,80200,78800,79100,4223450,-0.01643489254108723
20200826,78000,79100,77100,78800,4741965,0.0038071065989847717
20200825,76300,77700,75400,77000,3473488,0.023376623376623377
20200824,74600,77200,73700,75500,4298619,0.019867549668874173
20200821,72800,77000,72500,74500,7700029,0.013422818791946308
20200820,74400,74400,71300,71800,7260223,0.037604456824512536
20200819,77300,78000,75000,75000,8028305,-0.042666666666666665
20200818,80000,80200,78000,78100,4946279,-0.03969270166453265
20200814,80200,81100,80100,80200,2589552,-0.026184538653366583
20200813,81900,82000,80300,80700,4049387,-0.006195786864931847
20200812,81100,81300,80200,81000,3595828,-0.003703703703703704
20200811,81700,82000,81000,81300,3234013,-0.0036900369003690036
20200810,80100,81900,79800,81400,3277238,-0.0012285012285012285
20200807,81200,81300,80000,80600,4946631,0.009925558312655087
20200806,80700,81900,80700,81100,3391939,-0.006165228113440197
20200805,81200,81300,80500,80700,4537005,0.004956629491945477
20200804,81800,82500,81400,81600,3005937,-0.011029411764705883
20200803,82400,82600,81500,81800,3483106,-0.0024449877750611247
20200731,85700,86000,82800,82800,4848989,-0.012077294685990338
20200730,83300,86400,83000,85300,6870841,-0.029308323563892145
20200729,82900,83800,82600,83200,3719681,0.025240384615384616
20200728,83900,83900,82700,83100,4538720,0.0012033694344163659
20200727,83100,84000,82800,82800,2784652,0.0036231884057971015
20200724,82300,83700,82200,83700,3667416,-0.010752688172043012
20200723,84000,84000,82300,82400,3591647,0.015776699029126214
20200722,84100,84200,82900,83200,2876295,-0.009615384615384616
20200721,83400,84700,83000,84100,4181015,-0.01070154577883472
20200720,82800,83000,82100,82200,2008624,0.023114355231143552
20200717,82700,83500,82600,82900,1579078,-0.008443908323281062
20200716,83000,83100,82300,82700,2312310,0.0024183796856106408
20200715,83100,83900,82900,83000,3024429,-0.0036144578313253013
20200714,82600,82900,82000,82900,2048671,0.0012062726176115801
20200713,83100,83500,82500,83000,2080934,-0.0012048192771084338
20200710,83300,83500,82400,82800,2201557,0.0024154589371980675
20200709,84200,84600,83000,83000,4002365,-0.0024096385542168677
20200708,83800,84900,83600,83700,3523620,-0.008363201911589008
20200707,87300,87300,84600,84800,3196352,-0.012971698113207548
20200706,86000,87000,85800,86000,2561766,-0.013953488372093023
