일자,시가,고가,저가,종가,거래량,변화량
20201230,62300,63000,61900,62400,1740601,0.0
20201229,63600,63600,61600,62300,1839069,0.0016051364365971107
20201228,62200,63700,61700,62800,2282079,-0.007961783439490446
20201224,61800,62800,61200,61700,1271051,0.017828200972447326
20201223,60000,62000,59500,61400,1658263,0.004885993485342019
20201222,60600,60900,59800,59800,1645392,0.026755852842809364
20201221,62200,62200,60500,61300,1446522,-0.024469820554649267
20201218,62000,62600,61600,62200,1330698,-0.014469453376205787
20201217,62600,62700,61700,62000,1326705,0.0032258064516129032
20201216,62000,63400,62000,62500,1363821,-0.008
20201215,62700,63500,61500,62000,2348952,0.008064516129032258
20201214,63600,64300,62500,63200,1769327,-0.0189873417721519
20201211,63500,64400,63400,63700,1614527,-0.007849293563579277
20201210,63100,64700,62700,63800,3179894,-0.001567398119122257
20201209,63100,64400,63100,63700,1984241,0.0015698587127158557
20201208,64000,64100,62800,63100,2890452,0.009508716323296355
20201207,64700,65000,63000,64600,3382871,-0.02321981424148607
20201204,65000,66600,64300,65400,3866516,-0.012232415902140673
20201203,60800,64800,60000,64700,4152306,0.010819165378670788
20201202,60000,61000,59400,60800,2964672,0.06414473684210527
20201201,58700,60000,58100,59800,1822248,0.016722408026755852
20201130,58700,60400,57800,57800,3810442,0.03460207612456748
20201127,58200,59100,58000,58700,1223715,-0.015332197614991482
20201126,58500,58800,58000,58400,1742667,0.005136986301369863
20201125,59800,60300,58300,59000,1948846,-0.010169491525423728
20201124,59700,59900,58700,59800,2044604,-0.013377926421404682
20201123,57600,59700,57500,59300,2066011,0.008431703204047217
20201120,58100,58400,57700,58100,1894950,0.020654044750430294
20201119,58800,59400,57800,58800,1742288,-0.011904761904761904
20201118,58600,59200,57400,58200,2360865,0.010309278350515464
20201117,58900,60800,58200,58500,3227550,-0.005128205128205128
20201116,59700,60200,58100,59700,3356021,-0.020100502512562814
20201113,59000,61800,58800,59200,3972078,0.008445945945945946
20201112,58600,60100,57200,59000,4630753,0.003389830508474576
20201111,54500,58700,54500,58100,4438993,0.01549053356282272
20201110,52900,54700,52000,54500,3155193,0.06605504587155964
20201109,52200,53000,51900,52300,1662698,0.04206500956022945
20201106,52100,53600,51300,51600,2214532,0.013565891472868217
20201105,52200,52500,51400,52200,2424158,-0.011494252873563218
