일자,시가,고가,저가,종가,거래량
202104301530,359500,359500,359500,359500,98791
202104301520,358500,360000,358500,359500,17454
202104301515,358500,359000,358500,359000,9163
202104301510,358500,359000,358500,359000,7801
202104301505,359000,359500,358000,358500,20937
202104301500,359000,359500,359000,359000,6648
202104301455,358500,359500,358000,359500,15944
202104301450,358500,358500,358000,358500,8672
202104301445,358500,358500,358000,358500,6050
202104301440,356000,359000,356000,359000,20950
202104301435,356000,356500,356000,356500,7375
202104301430,356000,356500,356000,356500,6993
202104301425,356000,356500,356000,356500,6769
202104301420,354500,357000,354500,356500,25208
202104301415,354000,355000,354000,354500,12019
202104301410,354500,355000,354000,354000,9569
202104301405,354000,355000,354000,354500,10818
202104301400,354000,354500,353500,354000,21462
202104301355,354000,354500,354000,354000,10450
202104301350,355000,355500,354000,354500,23051
202104301345,355500,355500,355000,355000,11490
202104301340,355000,355500,355000,355500,23194
202104301335,355000,355500,355000,355000,9372
202104301330,356000,356000,355000,355500,14341
202104301325,355500,356000,355500,355500,14507
202104301320,355500,356000,355500,356000,6924
202104301315,356500,356500,355500,355500,12498
202104301310,356000,356500,356000,356000,22148
202104301305,356000,356500,356000,356000,7432
202104301300,356000,356500,356000,356500,7916
202104301255,356000,356500,356000,356000,6703
202104301250,356000,356500,356000,356500,5286
202104301245,356000,357000,356000,356500,11585
202104301240,356500,356500,356000,356000,9759
202104301235,356000,356500,356000,356500,7808
202104301230,357000,357000,356000,356500,15421
202104301225,356500,357000,356500,356500,5417
202104301220,356500,357000,356500,357000,6095
202104301215,357000,357500,356500,356500,12408
202104301210,357000,357500,357000,357500,4367
202104301205,356000,357500,356000,357000,13805
202104301200,356000,356500,356000,356500,6685
202104301155,356500,357000,356000,356500,11491
202104301150,356500,357000,356500,356500,4995
202104301145,356000,357000,356000,356500,11975
202104301140,357000,357000,356000,356000,6720
202104301135,356500,357000,356500,357000,6110
202104301130,357000,357500,356500,356500,6280
202104301125,357000,357500,357000,357000,6432
202104301120,356000,357500,356000,357500,12481
202104301115,357000,357000,356000,356000,15893
202104301110,357500,358000,356500,356500,14664
202104301105,358000,358500,357500,357500,12825
202104301100,358000,358500,358000,358000,10497
202104301055,359500,359500,358000,358500,23234
202104301050,359000,359500,359000,359500,7840
202104301045,359500,360000,359000,359000,17124
202104301040,360000,360000,359500,359500,5874
202104301035,360000,360500,359500,360000,18983
202104301030,361000,361000,360000,360000,6396
202104301025,360000,361000,360000,360500,7875
202104301020,360000,360500,360000,360500,4157
202104301015,360500,360500,360000,360500,6203
202104301010,360500,360500,360000,360000,5306
202104301005,360500,361000,360000,360500,6234
202104301000,360500,361000,360000,361000,12630
202104300955,360500,361000,360500,360500,3005
202104300950,361000,361500,360500,360500,8950
202104300945,360500,361500,360500,361500,15732
202104300940,361500,362000,360500,360500,10689
202104300935,363000,363500,361500,361500,10873
202104300930,362000,363500,362000,363500,9021
202104300925,360000,362500,360000,362500,10344
202104300920,360500,360500,359500,360500,20187
202104300915,360500,361000,359500,360500,32660
202104300910,361000,361500,360000,360000,35164
202104300905,366000,366000,361000,361000,40930
202104291530,366500,366500,366500,366500,43381
202104291520,366500,367000,366000,366000,16090
202104291515,367000,367500,366500,366500,13790
202104291510,367500,368000,367000,367000,12048
202104291505,367000,368000,367000,368000,11852
202104291500,368000,368000,367000,367500,16131
202104291455,368000,368500,367500,368000,19552
202104291450,368500,368500,368000,368000,10175
202104291445,369000,369000,368000,368500,19490
202104291440,368500,369000,368500,369000,7691
202104291435,368500,369000,368500,368500,7349
202104291430,369000,369500,368500,368500,7237
202104291425,368500,369500,368500,369500,9020
202104291420,368500,369000,368500,369000,8215
202104291415,369000,369500,368500,368500,11174
202104291410,369500,369500,369000,369000,6243
202104291405,369000,369500,369000,369000,7336
202104291400,369000,369500,369000,369500,6308
202104291355,369000,369500,369000,369000,5628
202104291350,369000,369500,369000,369000,6315
202104291345,369500,370000,369000,369000,9843
202104291340,369500,370000,369500,369500,6311
202104291335,369500,370000,369500,370000,4972
202104291330,369500,370000,369500,369500,2694
202104291325,370000,370000,369500,369500,2709
202104291320,370000,370000,369500,369500,5334
202104291315,369500,370000,369500,370000,3532
202104291310,369500,370000,369500,370000,2728
202104291305,369000,370000,369000,369500,11444
202104291300,369000,369500,369000,369000,5495
202104291255,369000,369500,369000,369500,6159
202104291250,369500,369500,369000,369000,5024
202104291245,370000,370000,369000,369500,10098
202104291240,369500,370000,369000,369500,5213
202104291235,369500,370000,369000,369000,9987
202104291230,369000,369500,369000,369500,9137
202104291225,369500,370000,369000,369500,9052
202104291220,369500,370000,369500,370000,11748
202104291215,370000,370500,369500,369500,29656
202104291210,370500,370500,370000,370500,5066
202104291205,370500,370500,370000,370500,4653
202104291200,370000,370500,370000,370000,6023
202104291155,370000,370500,370000,370500,6320
202104291150,370000,370500,370000,370000,5156
202104291145,370500,370500,370000,370500,4458
202104291140,370500,371000,370000,370000,6268
202104291135,370000,371000,370000,370500,8610
202104291130,370500,370500,370000,370500,3431
202104291125,371000,371000,370000,370500,6299
202104291120,370500,371000,370500,371000,5173
202104291115,370500,371000,370500,370500,3322
202104291110,370000,371000,370000,371000,4062
202104291105,370000,371000,370000,370000,11413
202104291100,370000,370500,370000,370500,8361
202104291055,370500,370500,370000,370000,13794
202104291050,370000,370500,370000,370500,6941
202104291045,371000,371000,370000,370500,17170
202104291040,371500,371500,370500,371000,8945
202104291035,371500,371500,371000,371000,4048
202104291030,371000,371500,370500,371000,5022
202104291025,372500,372500,370500,370500,21346
202104291020,372000,372500,372000,372000,4273
202104291015,372500,373000,372000,372000,4621
202104291010,373000,373000,372500,372500,2956
202104291005,372000,373000,372000,372500,4871
202104291000,372500,373000,372000,372500,5966
202104290955,372500,373000,372000,373000,9557
202104290950,373000,373500,372500,372500,12875
202104290945,374500,374500,373000,373000,7051
202104290940,374500,375000,373500,374000,11163
202104290935,375500,376000,374500,374500,9037
202104290930,375500,376500,375000,375500,10164
202104290925,376500,376500,375000,375500,9393
202104290920,376500,377500,375500,376000,15811
202104290915,374000,377000,373500,376500,17235
202104290910,373500,374000,372500,374000,19357
202104290905,373500,375000,373000,374000,33609
202104281530,373500,373500,373500,373500,46674
202104281520,373500,374000,373500,374000,10938
202104281515,373500,374000,373500,374000,6845
202104281510,373500,374000,373000,373500,7176
202104281505,373000,373500,373000,373500,7939
202104281500,373000,373500,373000,373000,7676
202104281455,373000,373500,373000,373000,8517
202104281450,373000,373500,373000,373000,8273
202104281445,373000,373500,373000,373500,6011
202104281440,373000,373500,373000,373500,5550
202104281435,373000,373500,373000,373000,5842
202104281430,373500,374000,373000,373500,7020
202104281425,373500,374000,373500,373500,8672
202104281420,373500,374000,373500,373500,4755
202104281415,373500,374000,373500,373500,4994
202104281410,373500,374000,373500,374000,5183
202104281405,373500,374000,373500,373500,4312
202104281400,373500,374000,373500,373500,4889
202104281355,374000,374000,373500,373500,4450
202104281350,374000,374000,373500,373500,4213
202104281345,373500,374000,373500,373500,3694
202104281340,374000,374000,373500,374000,3875
202104281335,374000,374000,373500,374000,3911
202104281330,373500,374000,373500,373500,2981
202104281325,373500,374000,373500,374000,6098
202104281320,373500,374000,373500,373500,2120
202104281315,374000,374500,373500,374000,4269
202104281310,373500,374500,373500,374500,2524
202104281305,374000,374000,373500,373500,3478
202104281300,373500,374000,373500,374000,2610
202104281255,373500,374000,373500,373500,2525
202104281250,373500,374000,373500,373500,3310
202104281245,373500,374000,373500,373500,2800
202104281240,373500,374000,373500,374000,2831
202104281235,374000,374000,373500,373500,2321
202104281230,374000,374000,373500,373500,2465
202104281225,374000,374000,373500,373500,2542
202104281220,373500,374500,373500,373500,5483
202104281215,374500,374500,373500,373500,5078
202104281210,374000,374500,374000,374500,1964
202104281205,374000,374500,374000,374500,2248
202104281200,374000,374500,374000,374000,2535
202104281155,374500,374500,374000,374000,2587
202104281150,374000,374500,374000,374500,3011
202104281145,374000,374500,374000,374000,2940
202104281140,374000,374500,374000,374000,1469
202104281135,374000,374500,374000,374000,2167
202104281130,374000,374500,374000,374000,3101
202104281125,374000,375000,374000,374000,3546
202104281120,374000,374500,373500,374500,6649
202104281115,374000,374500,374000,374500,3475
202104281110,374000,374500,374000,374000,3335
202104281105,374500,375000,374000,374000,2455
202104281100,374500,375000,373500,374500,11295
202104281055,373500,375000,373500,374500,9566
202104281050,373500,374000,373500,373500,3766
202104281045,373500,374000,373500,374000,4320
202104281040,374000,374500,373500,373500,16245
202104281035,374000,374500,374000,374500,7477
202104281030,374500,374500,374000,374000,5257
202104281025,374500,374500,374000,374000,5346
202104281020,374500,374500,374000,374500,3836
202104281015,374000,375000,374000,374000,5286
202104281010,375500,375500,374000,374000,21395
202104281005,375000,375500,375000,375500,4876
202104281000,375500,376000,375000,375500,9692
202104280955,375500,376000,375000,375000,8699
202104280950,376000,376500,375500,376000,12129
202104280945,376000,376500,376000,376000,3640
202104280940,377000,377000,376000,376500,9094
202104280935,377000,377000,376500,376500,3357
202104280930,377500,377500,376500,376500,7289
202104280925,377500,378000,377000,378000,5002
202104280920,377000,378500,377000,377000,8915
202104280915,377500,378000,377000,377500,7561
202104280910,378500,379000,377500,377500,7029
202104280905,381500,382000,377500,378500,26509
202104271530,380000,380000,380000,380000,28322
202104271520,378500,379000,378500,378500,9056
202104271515,378500,379000,378500,378500,5484
202104271510,379000,379000,378500,379000,4493
202104271505,379000,379000,378500,378500,2883
202104271500,378500,379000,378500,379000,2931
202104271455,378500,379000,378500,379000,2087
202104271450,378000,379000,378000,378500,8109
202104271445,378000,378500,377500,378000,11341
202104271440,377500,378000,377500,377500,2136
202104271435,377000,378000,377000,378000,3078
202104271430,377000,377500,377000,377000,3406
202104271425,377500,377500,377000,377000,2604
202104271420,377500,377500,377000,377500,4130
202104271415,377500,377500,377000,377500,1328
202104271410,377000,377500,377000,377500,2418
202104271405,377500,377500,377000,377500,4699
202104271400,377500,378000,377000,377000,10074
202104271355,378000,378000,377500,377500,1673
202104271350,378000,378000,377500,377500,2532
202104271345,377500,378000,377500,377500,2641
202104271340,378000,378000,377500,377500,1541
202104271335,378000,378000,377500,378000,2374
202104271330,377000,377500,377000,377500,12245
202104271325,377500,377500,377000,377000,1718
202104271320,377000,377500,377000,377500,1522
202104271315,377000,377500,377000,377000,1823
202104271310,377500,377500,377000,377500,1958
202104271305,377000,377500,377000,377000,2152
202104271300,377500,377500,377000,377500,1400
202104271255,377500,377500,377000,377000,2274
202104271250,377000,377500,377000,377000,1570
202104271245,377500,377500,377000,377500,2435
202104271240,377500,377500,377000,377000,1873
202104271235,377500,377500,377000,377500,1566
202104271230,377500,377500,377000,377500,1754
202104271225,377000,377500,377000,377500,1891
202104271220,377000,377500,377000,377500,1697
202104271215,378000,378000,377000,377500,9842
202104271210,377500,378000,377500,378000,1381
202104271205,378000,378000,377500,377500,1343
202104271200,377500,378000,377500,378000,1776
202104271155,377500,378000,377500,378000,1425
202104271150,377500,378000,377500,378000,1438
202104271145,377500,378000,377500,377500,1571
202104271140,378000,378000,377500,378000,2855
202104271135,377500,378000,377500,377500,1771
202104271130,378000,378000,377500,378000,2179
202104271125,378000,378000,377500,377500,6808
202104271120,377500,378000,377500,377500,1759
202104271115,377500,378000,377500,378000,1712
202104271110,378000,378000,377500,378000,2379
202104271105,377500,378000,377500,378000,2567
202104271100,378500,378500,377500,378000,2931
202104271055,378500,378500,378000,378000,3219
202104271050,378000,378500,377500,378000,4092
202104271045,378000,378500,377500,378000,5794
202104271040,378000,378000,377500,378000,4247
202104271035,377500,378000,377500,378000,2608
202104271030,378500,378500,377500,378000,4158
202104271025,378500,378500,377500,378500,3562
202104271020,378000,378500,377500,378500,2379
202104271015,378000,378500,377500,378000,3531
202104271010,378000,378500,377500,378500,3816
202104271005,379000,379000,377500,378000,6736
202104271000,379000,379500,378000,378500,6572
202104270955,379000,379500,378500,379000,8587
202104270950,378000,379000,378000,378500,4528
202104270945,379000,379000,378000,378000,7583
202104270940,379500,379500,378500,379000,5558
202104270935,380500,381000,379000,379500,9905
202104270930,381000,381500,379500,380500,19756
202104270925,379000,381000,378500,381000,23294
202104270920,378500,379500,378000,379000,13505
202104270915,377000,379000,376500,379000,20128
202104270910,376500,378000,376000,377000,9795
202104270905,378000,378500,376500,376500,16838
202104261530,377500,377500,377500,377500,35529
202104261520,375500,376500,375500,376500,8425
202104261515,375000,376000,375000,375500,11768
202104261510,375000,375500,375000,375500,5924
202104261505,375000,375500,375000,375000,5239
202104261500,375000,375500,375000,375000,7519
202104261455,375000,375500,375000,375000,6574
202104261450,374500,375500,374500,375000,7154
202104261445,375000,375500,374500,374500,14329
202104261440,375000,375500,375000,375000,7856
202104261435,375000,375500,375000,375000,4780
202104261430,375000,375500,375000,375000,5755
202104261425,375000,375500,375000,375500,3977
202104261420,375000,375500,375000,375000,3908
202104261415,375000,375500,375000,375000,6217
202104261410,375000,375500,375000,375000,4097
202104261405,375000,375500,375000,375500,3378
202104261400,375500,375500,375000,375500,5125
202104261355,375000,375500,375000,375500,10396
202104261350,375000,375500,375000,375500,3708
202104261345,375500,375500,375000,375000,11653
202104261340,375500,375500,375000,375500,3441
202104261335,375000,375500,375000,375000,4154
202104261330,375000,375500,375000,375500,3619
202104261325,375500,376000,375000,375500,12457
202104261320,376000,376000,375500,375500,3309
202104261315,376000,376000,375500,375500,3607
202104261310,375500,376000,375500,376000,3568
202104261305,375500,376000,375500,376000,2709
202104261300,375500,376000,375500,375500,2908
202104261255,376000,376000,375500,375500,3348
202104261250,375500,376000,375500,375500,3480
202104261245,375500,376000,375500,375500,2401
202104261240,376000,376000,375500,376000,2066
202104261235,376000,376000,375500,375500,2802
202104261230,375500,376000,375500,375500,2523
202104261225,375500,376000,375500,375500,1861
202104261220,376000,376000,375500,376000,2168
202104261215,376000,376000,375500,375500,2514
202104261210,376000,376000,375500,376000,1916
202104261205,376000,376000,375500,375500,1897
202104261200,375500,376000,375500,375500,2397
202104261155,375500,376000,375500,376000,1687
202104261150,375500,376000,375000,376000,4764
202104261145,375500,376000,375000,375500,6062
202104261140,375000,375500,375000,375500,2769
202104261135,375000,375500,375000,375000,2324
202104261130,375000,375500,375000,375000,3731
202104261125,375500,375500,375000,375500,4938
202104261120,375500,375500,375000,375000,2272
202104261115,375500,376000,375000,375500,3764
202104261110,376000,376000,375000,375500,17953
202104261105,375500,376000,375500,375500,3489
202104261100,375500,376000,375500,375500,6264
202104261055,375500,376000,375500,375500,3813
202104261050,375500,376000,375500,376000,5060
202104261045,376000,376000,375500,376000,3129
202104261040,375500,376000,375500,375500,2788
202104261035,376000,376000,375500,376000,4907
202104261030,376000,376000,375500,375500,4360
202104261025,375500,376000,375500,376000,3773
202104261020,376500,376500,375500,376000,12073
202104261015,376500,377000,376000,376500,5785
202104261010,376500,377500,376000,376500,15027
202104261005,376500,377000,376000,376000,8277
202104261000,376500,377000,376500,376500,3099
202104260955,377500,377500,376500,376500,6598
202104260950,378000,378000,377000,377000,5612
202104260945,378000,378500,378000,378000,5445
202104260940,378000,378500,378000,378000,4479
202104260935,378000,378500,377500,378000,9102
202104260930,378500,378500,377500,378000,7868
202104260925,378000,378500,376500,378000,12413
202104260920,378000,378000,377500,378000,3047
202104260915,377000,379000,376500,377500,14254
202104260910,377000,378000,376500,376500,14405
202104260905,376500,377000,375500,377000,24840
202104231530,378000,378000,378000,378000,32695
202104231520,378500,379500,378500,379000,13914
202104231515,378500,379000,378500,378500,6255
202104231510,379000,379500,378500,378500,7942
202104231505,379000,379500,378500,379000,7965
202104231500,378500,379000,378500,379000,3309
202104231455,378500,379000,378500,379000,6225
202104231450,378000,378500,378000,378500,3860
202104231445,378500,378500,378000,378000,3838
202104231440,378500,378500,378000,378000,2432
202104231435,378000,378500,378000,378500,4070
202104231430,378000,378500,378000,378000,2711
202104231425,378000,378500,378000,378500,2692
202104231420,378500,379500,378000,378500,11084
202104231415,378000,378500,378000,378000,2228
202104231410,378500,378500,378000,378000,2586
202104231405,378000,379000,378000,378500,5748
202104231400,378500,379000,378000,378000,5670
202104231355,378000,379000,378000,379000,5762
202104231350,378000,378500,378000,378000,2010
202104231345,378500,379000,378000,378000,3655
202104231340,378500,379000,378500,378500,2347
202104231335,379000,379000,378500,378500,3047
202104231330,378500,379000,378000,378500,5511
202104231325,378000,379000,378000,378500,5518
202104231320,377500,378500,377500,378000,7644
202104231315,378000,378000,377500,378000,2429
202104231310,377500,378000,377500,378000,1676
202104231305,377000,378000,377000,377500,6093
202104231300,377000,377500,377000,377000,2545
202104231255,377500,378000,377000,377000,8839
202104231250,377500,378000,377500,377500,2439
202104231245,378500,378500,377500,378000,7451
202104231240,378000,378500,378000,378000,1929
202104231235,379000,379500,378000,378500,8040
202104231230,379500,379500,379000,379000,1426
202104231225,379000,379500,379000,379500,2388
202104231220,379000,379500,379000,379500,1843
202104231215,379000,379500,379000,379500,1890
202104231210,378500,379500,378500,379500,6167
202104231205,378000,379000,378000,379000,6131
202104231200,378500,378500,378000,378000,1926
202104231155,378000,378500,378000,378500,1403
202104231150,378500,379000,378000,378000,2174
202104231145,378000,379000,378000,378500,4870
202104231140,378500,379000,378000,378000,4030
202104231135,378500,379000,378500,378500,2055
202104231130,378500,379000,378500,378500,1992
202104231125,378500,379000,378500,378500,2374
202104231120,378500,379000,378500,378500,2582
202104231115,378500,379000,378500,378500,2757
202104231110,378500,379000,378000,378500,5551
202104231105,378500,379000,378000,378500,3765
202104231100,378000,379000,378000,378500,5327
202104231055,379000,379500,378000,378000,7144
202104231050,378500,379500,378500,379000,5980
202104231045,378500,379000,378500,379000,3545
202104231040,378500,379000,378000,378500,4101
202104231035,378500,379000,378000,378500,6697
202104231030,378500,379000,378000,378500,2801
202104231025,378500,379000,378000,378500,6150
202104231020,378000,378500,378000,378500,2653
202104231015,378500,379000,378000,378500,6363
202104231010,378000,379000,378000,378500,9951
202104231005,377500,378500,377500,378500,4834
202104231000,377000,377500,377000,377500,4745
202104230955,377000,377500,377000,377500,2774
202104230950,376500,378000,376500,377500,8016
202104230945,377500,378000,376500,376500,7494
202104230940,376500,378500,376500,378000,10832
202104230935,376500,377500,376500,377000,8821
202104230930,374500,377000,374500,377000,14192
202104230925,375000,375500,374500,375000,7392
202104230920,375000,375500,374000,375500,21548
202104230915,376500,377000,375000,375500,32784
202104230910,376500,377000,376000,377000,19137
202104230905,377500,377500,375500,376500,41925
202104221530,380500,380500,380500,380500,41171
202104221520,380000,380500,380000,380500,14433
202104221515,380000,380500,380000,380500,4578
202104221510,380500,380500,380000,380000,3454
202104221505,380500,380500,380000,380000,5272
202104221500,380000,380500,380000,380500,4604
202104221455,380500,380500,380000,380000,3838
202104221450,380000,380500,380000,380000,4443
202104221445,380000,380500,380000,380000,9073
202104221440,380000,380500,380000,380000,3694
202104221435,380000,380500,380000,380500,4713
202104221430,380000,380500,380000,380000,3604
202104221425,380500,380500,380000,380500,3518
202104221420,380500,380500,380000,380500,2514
202104221415,380000,380500,380000,380500,3234
202104221410,381000,381000,380000,380000,11326
202104221405,380500,381000,380500,381000,2241
202104221400,381000,381000,380500,380500,5207
202104221355,380500,381000,380500,381000,6432
202104221350,380500,381000,380500,381000,3592
202104221345,380500,381000,380500,380500,2439
202104221340,380500,381000,380500,381000,2107
202104221335,381000,381000,380500,380500,2147
202104221330,380500,381000,380500,381000,2382
202104221325,380500,381000,380500,381000,1737
202104221320,381000,381500,380500,380500,7676
202104221315,381000,381500,381000,381000,1480
202104221310,381500,381500,381000,381000,1605
202104221305,381500,381500,381000,381500,1398
202104221300,381500,381500,381000,381000,3001
202104221255,381000,381500,381000,381500,5631
202104221250,381000,381500,381000,381500,3155
202104221245,381000,381500,381000,381000,1918
202104221240,381000,381500,381000,381000,1140
202104221235,381500,381500,381000,381500,1471
202104221230,381500,381500,381000,381500,1755
202104221225,382000,382000,381000,381000,2230
202104221220,381000,382000,381000,382000,2145
202104221215,381000,381500,381000,381000,1753
202104221210,381000,381500,381000,381000,2378
202104221205,381500,381500,381000,381500,4034
202104221200,381500,381500,381000,381500,1342
202104221155,381000,382000,381000,381000,5229
202104221150,381500,381500,381000,381000,1397
202104221145,381000,381500,381000,381000,1810
202104221140,381500,382000,381000,381000,1844
202104221135,382000,382000,381500,381500,2227
202104221130,381500,382000,381000,381500,3841
202104221125,381000,381500,381000,381000,1599
202104221120,382000,382000,381000,381500,2591
202104221115,381500,382000,381000,381500,2409
202104221110,381500,382000,381000,381500,3268
202104221105,381500,382000,381000,381500,5814
202104221100,382000,382000,381500,382000,3161
202104221055,382000,382000,381500,382000,2634
202104221050,381500,382000,381500,382000,2988
202104221045,382000,382500,381500,382000,10367
202104221040,382000,382500,382000,382500,4127
202104221035,382000,382500,382000,382000,1536
202104221030,382500,382500,382000,382000,3236
202104221025,382500,382500,382000,382500,1951
202104221020,382000,382500,382000,382000,2813
202104221015,382500,382500,382000,382000,1936
202104221010,382000,382500,382000,382500,2489
202104221005,382500,382500,382000,382000,2845
202104221000,381500,382500,381500,382500,6741
202104220955,382000,382000,381500,381500,2617
202104220950,381000,382000,381000,381500,7658
202104220945,381000,381500,381000,381500,2855
202104220940,381000,381500,380500,381000,6311
202104220935,381500,382000,380500,380500,15058
202104220930,382500,382500,381500,381500,5254
202104220925,382000,382500,381500,382000,9360
202104220920,383000,383000,382000,382000,11477
202104220915,383000,383000,382500,383000,7888
202104220910,383000,383000,382500,383000,7155
202104220905,382000,384500,381500,382500,42171
202104211530,380500,380500,380500,380500,46455
202104211520,380500,381000,380500,380500,25038
202104211515,380500,381000,380500,381000,12074
202104211510,381500,381500,380500,381000,22851
202104211505,381000,381500,381000,381000,7266
202104211500,381500,381500,381000,381500,10135
202104211455,381500,381500,381000,381000,8982
202104211450,381000,381500,381000,381000,7671
202104211445,381000,381500,381000,381000,6876
202104211440,381500,381500,381000,381000,5149
202104211435,380500,381500,380500,381500,14048
202104211430,380500,381000,380500,381000,9718
202104211425,380500,381000,380500,381000,7453
202104211420,381000,381500,380500,381000,24443
202104211415,381000,381500,381000,381000,7810
202104211410,381000,381500,381000,381000,7182
202104211405,381000,381500,381000,381000,5491
202104211400,381000,381500,381000,381500,6407
202104211355,381500,381500,381000,381000,5731
202104211350,381000,381500,381000,381000,4958
202104211345,381500,382000,381000,381500,5265
202104211340,382000,382000,381500,381500,12087
202104211335,382000,382000,381500,381500,7335
202104211330,381500,382000,381500,381500,7291
202104211325,381500,382000,381500,382000,6951
202104211320,382000,382000,381500,381500,5488
202104211315,381500,382000,381500,381500,3940
202104211310,382000,382000,381500,381500,5821
202104211305,381500,382000,381500,382000,3059
202104211300,381500,382000,381500,381500,3151
202104211255,382000,382000,381500,382000,3028
202104211250,382000,382000,381500,381500,9119
202104211245,382000,382500,381500,381500,8817
202104211240,382500,382500,382000,382500,13578
202104211235,382500,382500,382000,382500,2579
202104211230,382000,382500,382000,382500,3744
