일자,MACD,SIGNAL,OSC
202008040905,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040910,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040915,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040920,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040925,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040930,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040935,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040940,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040945,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040950,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040955,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041000,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041005,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041010,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041015,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041020,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041025,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041030,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041035,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041040,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041045,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041050,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041055,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041100,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041105,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041110,-1525.322579304804,1.7976931348623157e+308,1.7976931348623157e+308
202008041115,-1479.1068908851012,1.7976931348623157e+308,1.7976931348623157e+308
202008041120,-1346.270019435091,1.7976931348623157e+308,1.7976931348623157e+308
202008041125,-1306.625518789806,1.7976931348623157e+308,1.7976931348623157e+308
202008041130,-1220.788653397758,1.7976931348623157e+308,1.7976931348623157e+308
202008041135,-1059.8533468553214,1.7976931348623157e+308,1.7976931348623157e+308
202008041140,-1001.4584104262758,1.7976931348623157e+308,1.7976931348623157e+308
202008041145,-864.5226806265418,1.7976931348623157e+308,1.7976931348623157e+308
202008041150,-787.2707820013748,-1106.6596859491892,319.38890394781447
202008041155,-677.8880035115872,-1020.9053494616688,343.0173459500817
202008041200,-624.3500659083365,-941.5942927510024,317.24422684266585
202008041205,-535.4032479466987,-860.3560837901416,324.9528358434429
202008041210,-459.6141085414565,-780.2076887404046,320.5935801989481
202008041215,-434.88342543435283,-711.1428360791942,276.2594106448414
202008041220,-450.43763752491213,-659.0017963683379,208.56415884342573
202008041225,-377.71871380641824,-602.7451798559539,225.02646604953566
202008041230,-356.3267511915765,-553.4614941230784,197.13474293150193
202008041235,-295.6199229185004,-501.8931798821628,206.27325696366245
202008041240,-244.68870506447274,-450.4522849186248,205.76357985415206
202008041245,-321.65497363964096,-424.692822662828,103.03784902318705
202008041250,-338.4045575815835,-407.4351696465791,69.03061206499558
202008041255,-387.5570286747534,-403.45954145221395,15.902512777460572
202008041300,-461.53623504494317,-415.0748801707598,-46.46135487418337
202008041305,-514.237479522475,-434.90740004110285,-79.3300794813722
202008041310,-549.6673721527332,-457.8593944634289,-91.80797768930427
202008041315,-571.1618194026523,-480.5198794512736,-90.64193995137873
202008041320,-581.4932316992781,-500.7145499008745,-80.77868179840362
202008041325,-582.9609395476291,-517.1638278302254,-65.79711171740371
202008041330,-657.2395033655921,-545.1789629372987,-112.0605404282934
202008041335,-628.1729707059567,-561.7777644910303,-66.39520621492636
202008041340,-638.1274198108003,-577.0476955549843,-61.07972425581602
202008041345,-638.6543822739623,-589.3690328987799,-49.28534937518236
202008041350,-631.7891319841729,-597.8530527158584,-33.936079268314415
202008041355,-659.0965383726871,-610.1017498472241,-48.99478852546292
202008041400,-672.9801583252265,-622.6774315428246,-50.30272678240192
202008041405,-676.1883487915038,-633.3796149925604,-42.80873379894342
202008041410,-670.9960382019053,-640.9028996344293,-30.09313856747599
202008041415,-659.2813100966741,-644.5785817268783,-14.702728369795864
202008041420,-562.817847221042,-628.2264348257111,65.40858760466904
202008041425,-520.7132213530131,-606.7237921311714,86.01057077815835
202008041430,-402.01913303649053,-565.7828603122352,163.7637272757447
202008041435,-344.32981446327176,-521.4922511424426,177.1624366791708
202008041440,-295.20764390635304,-476.23532969522466,181.02768578887162
202008041445,-253.35742316907272,-431.65974838999426,178.30232522092155
202008041450,-177.79548472055467,-380.88689565610633,203.09141093555166
202008041455,-76.68233653757488,-320.04598383240005,243.36364729482517
202008041500,3.4112392358947545,-255.35453921874108,258.76577845463584
202008041505,66.12374174519209,-191.05888302595446,257.18262477114655
202008041510,114.50392186787212,-129.94632204718914,244.45024391506126
202008041515,111.21769350965042,-81.71351893582123,192.93121244547166
202008041520,107.37557506933808,-43.89570013478936,151.27127520412745
202008041530,103.14171503699617,-14.488217100432248,117.62993213742843
202008050905,18.877104298968334,-7.815152820552131,26.692257119520463
202008050910,72.30081834411249,8.208041412380792,64.09277693173169
202008050915,-46.211095932114404,-2.6757860565182483,-43.535309875596155
202008050920,-138.53568864503177,-29.847766574220955,-108.68792207081081
202008050925,-249.17705685435794,-73.71362463024836,-175.46343222410957
202008050930,-173.47810537333135,-93.66652077886496,-79.81158459446638
202008050935,-152.07889147364767,-105.3489949178215,-46.72989655582617
202008050940,65.8501666127122,-71.10916261171477,136.95932922442697
202008050945,195.9558370038285,-17.696162688606115,213.6519996924346
202008050950,255.7713242105092,36.997334691216956,218.77398951929223
202008050955,219.94845721620368,73.5875591962143,146.36089801998938
202008051000,269.14765307860216,112.69957797269188,156.44807510591028
202008051005,264.74078199552605,143.10781877725873,121.63296321826732
202008051010,298.15715613844804,174.1176862494966,124.03946988895146
202008051015,281.05423381581204,195.50499576275968,85.54923805305236
202008051020,224.56557121186052,201.31711085257984,23.24846035928067
202008051025,137.8628803260508,188.62626474727404,-50.763384421223236
202008051030,108.24837458552793,172.5506867149248,-64.30231212939688
202008051035,123.69856667390559,162.78026270672098,-39.08169603281539
202008051040,94.50770786363864,149.1257517381045,-54.618043874465855
202008051045,110.44640585721936,141.38988256192746,-30.943476704708104
202008051050,41.9032614834141,121.4925583462248,-79.5892968628107
202008051055,27.609877583861817,102.7160221937522,-75.10614460989038
202008051100,16.096714955114294,85.39216074602462,-69.29544579091032
202008051105,46.779032383230515,77.6695350734658,-30.89050269023528
202008051110,70.28479068295565,76.19258619536376,-5.907795512408114
202008051115,48.01397692138562,70.55686434056813,-22.542887419182506
202008051120,30.018165832734667,62.44912463900143,-32.430958806266766
202008051125,55.46283616684377,61.0518669445699,-5.58903077772613
202008051130,34.8800241931458,55.81749839428508,-20.93747420113928
202008051135,58.24243618873879,56.302485953175825,1.9399502355629679
202008051140,75.88258876430336,60.21850651540133,15.664082248902034
202008051145,128.72450216382276,73.91970564508561,54.80479651873715
202008051150,168.65791577129858,92.8673476703282,75.79056810097038
202008051155,198.02275075414218,113.898428287091,84.12432246705119
202008051200,218.77271832461702,134.8732862945962,83.89943203002082
202008051205,192.65063914685743,146.42875686504846,46.22188228180897
202008051210,169.98917381785577,151.14084025560993,18.84833356224584
202008051215,190.18330583849456,158.94933337218686,31.233972466307705
202008051220,243.72362801036797,175.90419229982308,67.8194357105449
202008051225,243.0076567432261,189.32488518850369,53.68277155472242
202008051230,239.6773925681482,199.39538666443258,40.28200590371563
202008051235,274.22288482333533,214.36088629621312,59.86199852712221
202008051240,298.1633943130728,231.12138789958505,67.04200641348774
202008051245,313.5223303029197,247.60157638025197,65.92075392266776
202008051250,321.9827806618996,262.4778172365815,59.504963425318124
