일자,MACD,SIGNAL,OSC
202008040905,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040910,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040915,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040920,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040925,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040930,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040935,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040940,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040945,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040950,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040955,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041000,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041005,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041010,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041015,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041020,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041025,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041030,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041035,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041040,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041045,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041050,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041055,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041100,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041105,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041110,-103.12373377353651,1.7976931348623157e+308,1.7976931348623157e+308
202008041115,-92.41821607961901,1.7976931348623157e+308,1.7976931348623157e+308
202008041120,-90.9547111504362,1.7976931348623157e+308,1.7976931348623157e+308
202008041125,-88.77156955462124,1.7976931348623157e+308,1.7976931348623157e+308
202008041130,-86.04948916412832,1.7976931348623157e+308,1.7976931348623157e+308
202008041135,-74.9589761611569,1.7976931348623157e+308,1.7976931348623157e+308
202008041140,-65.4155944504455,1.7976931348623157e+308,1.7976931348623157e+308
202008041145,-65.17031710500305,1.7976931348623157e+308,1.7976931348623157e+308
202008041150,-72.21267454541521,-79.73192748527133,7.519252939856116
202008041155,-68.93004661929444,-77.57155131207595,8.64150469278151
202008041200,-65.57265953620663,-75.17177295690209,9.59911342069546
202008041205,-62.194961285509635,-72.5764106226236,10.381449337113963
202008041210,-66.81704999183421,-71.42453849646571,4.607488504631505
202008041215,-69.67689669916581,-71.07501013700573,1.3981134378399247
202008041220,-71.12347862999013,-71.08470383560261,-0.03877479438752118
202008041225,-71.44631656860292,-71.15702638220267,-0.28929018640025106
202008041230,-70.8850492376805,-71.10263095329825,0.2175817156177402
202008041235,-69.63750304692076,-70.80960537202274,1.1721023251019886
202008041240,-67.86649103938544,-70.22098250549529,2.354491466109849
202008041245,-65.70553871395532,-69.3178937471873,3.612355033231978
202008041250,-63.26370382976893,-68.10705576370363,4.843351933934699
202008041255,-60.62963144095556,-66.61157089915402,5.981939458198454
202008041300,-57.87496354157338,-64.86424942763789,6.989285886064508
202008041305,-55.05720420682337,-62.90284038347498,7.84563617665161
202008041310,-52.22212547779782,-60.766697402339545,8.544571924541728
202008041315,-57.38299398950767,-60.08995671977317,2.706962730265502
202008041320,-60.772472236683825,-60.2264598231553,-0.5460124135285227
202008041325,-70.71269055300218,-62.323705969124674,-8.388984583877502
202008041330,-69.71756028170057,-63.80247683163985,-5.91508345006072
202008041335,-76.1206056784722,-66.26610260100632,-9.854503077465878
202008041340,-72.29255742035457,-67.47139356487597,-4.821163855478602
202008041345,-68.46952750392666,-67.6710203526861,-0.7985071512405568
202008041350,-72.67120460639126,-68.67105720342713,-4.0001474029641315
202008041355,-67.15774701308692,-68.36839516535909,1.2106481522721708
202008041400,-70.0499640324415,-68.70470893877557,-1.3452550936659264
202008041405,-71.5176558392559,-69.26729831887164,-2.250357520384256
202008041410,-71.85254080654704,-69.78434681640672,-2.0681939901403155
202008041415,-71.2960826947965,-70.08669399208468,-1.20938870271182
202008041420,-78.0248282460525,-71.67432084287825,-6.350507403174248
202008041425,-90.38467358397611,-75.41639139109782,-14.968282192878291
202008041430,-91.06108034634963,-78.54532918214818,-12.515751164201447
202008041435,-82.57608757787966,-79.35148086129448,-3.2246067165851855
202008041440,-82.96447116295167,-80.07407892162591,-2.890392241325756
202008041445,-82.32329623770784,-80.5239223848423,-1.7993738528655427
202008041450,-80.88279398872692,-80.59569670561922,-0.28709728310769833
202008041455,-78.83245411857206,-80.24304818820978,1.4105940696377246
202008041500,-68.35047895970638,-77.8645343425091,9.514055382802724
202008041505,-59.35918242257321,-74.16346395852193,14.804281535948718
202008041510,-51.638261404354125,-69.65842344768836,18.02016204333424
202008041515,-45.00063654500991,-64.72686606715267,19.72622952214276
202008041520,-39.28739044102258,-59.63897094192665,20.35158050090407
202008041530,-34.363480924323085,-54.58387293840594,20.220392014082854
202008050905,-77.97735830099555,-59.26257001092386,-18.714788290071688
202008050910,-135.19076811688137,-74.44820963211536,-60.74255848476601
202008050915,-154.54382973199245,-90.46733365209079,-64.07649607990166
202008050920,-175.9225095759466,-107.55836883686194,-68.36414073908466
202008050925,-190.66737259241927,-124.18016958797341,-66.48720300444586
202008050930,-192.06956016838376,-137.75804770405549,-54.311512464328274
202008050935,-206.93372923595598,-151.59318401043558,-55.3405452255204
202008050940,-208.24401862808736,-162.92335093396593,-45.320667694121425
202008050945,-222.85186338114727,-174.9090534234022,-47.942809957745055
202008050950,-223.77992564201122,-184.683227867124,-39.09669777488722
202008050955,-229.93404934334103,-193.7333921623674,-36.20065718097362
202008051000,-224.15811720800411,-199.81833717149476,-24.339780036509353
202008051005,-217.07830579475558,-203.27033089614693,-13.807974898608649
202008051010,-201.08041017703363,-202.83234675232427,1.7519365752906424
202008051015,-186.2549317280791,-199.51686374747524,13.261932019396141
202008051020,-180.49417303755763,-195.7123256054917,15.218152567934084
202008051025,-173.9238444562361,-191.3546293756406,17.430784919404488
202008051030,-166.79411300983338,-186.44252610247915,19.648413092645768
202008051035,-167.28456144344818,-182.61093317067295,15.326371727224767
202008051040,-165.76243914563383,-179.24123436566512,13.478795220031287
202008051045,-162.6808625402773,-175.92916000058756,13.248297460310255
202008051050,-166.38981690884975,-174.02129138224,7.631474473390256
202008051055,-159.42230461175495,-171.101494028143,11.679189416388056
202008051100,-160.12385703298787,-168.905966629112,8.782109596124116
202008051105,-166.82594104355667,-168.48996151200092,1.6640204684442494
202008051110,-162.19850326215965,-167.23166986203267,5.033166599873027
202008051115,-156.72460182930809,-165.13025625548775,8.405654426179666
202008051120,-158.62710524426075,-163.82962605324235,5.202520808981603
202008051125,-158.30995429877657,-162.7256917023492,4.415737403572621
202008051130,-148.28016419277992,-159.83658620043533,11.556422007655414
202008051135,-138.73226409044582,-155.61572177843743,16.88345768799161
202008051140,-121.69351313744846,-148.83128005023963,27.137766912791164
202008051145,-106.9572437225579,-140.4564727847033,33.49922906214539
202008051150,-86.21563955166494,-129.60830613809563,43.39266658643069
202008051155,-68.98258056248596,-117.48316102297369,48.500580460487726
202008051200,-46.717561917816056,-103.33004120194217,56.61247928412611
202008051205,-44.69548107749142,-91.60312917705201,46.90764809956059
202008051210,-42.60187949515239,-81.80287924067208,39.200999745519695
202008051215,-48.45330982815358,-75.13296535816838,26.6796555300148
202008051220,-44.50838134455262,-69.00804855544523,24.49966721089261
202008051225,-40.91040738909214,-63.388520322174614,22.47811293308247
202008051230,-37.62526645659818,-58.23586954905933,20.610603092461147
202008051235,-26.64545214815007,-51.917786068877476,25.272333920727405
