일자,MACD,SIGNAL,OSC
202008040905,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040910,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040915,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040920,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040925,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040930,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040935,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040940,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040945,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040950,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008040955,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041000,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041005,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041010,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041015,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041020,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041025,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041030,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041035,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041040,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041045,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041050,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041055,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041100,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041105,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308
202008041110,-4.29123669170076,1.7976931348623157e+308,1.7976931348623157e+308
202008041115,137.47921219543787,1.7976931348623157e+308,1.7976931348623157e+308
202008041120,364.49048454640433,1.7976931348623157e+308,1.7976931348623157e+308
202008041125,499.0264901256887,1.7976931348623157e+308,1.7976931348623157e+308
202008041130,677.0814632704132,1.7976931348623157e+308,1.7976931348623157e+308
202008041135,808.8671947852708,1.7976931348623157e+308,1.7976931348623157e+308
202008041140,1020.404537769442,1.7976931348623157e+308,1.7976931348623157e+308
202008041145,1057.0061080530868,1.7976931348623157e+308,1.7976931348623157e+308
202008041150,1151.9730806906591,725.2822332987458,426.6908473919133
202008041155,1252.4175967948395,830.7093059979645,421.70829079687496
202008041200,1316.8408775398275,927.9356203063371,388.9052572334904
202008041205,1313.1401330803055,1004.9765228611308,308.16361021917476
202008041210,1256.1080383262015,1055.2028259541448,200.90521237205667
202008041215,1197.1101516860654,1083.5842911005288,113.52586058553652
202008041220,1098.0763641282683,1086.4827057060768,11.593658422191538
202008041225,968.8040079034981,1062.946966145561,-94.14295824206283
202008041230,895.6498369820765,1029.487540312864,-133.83770333078746
202008041235,828.1284798557754,989.2157282214463,-161.08724836567092
202008041240,765.7897700861213,944.5305365943813,-178.74076650825998
202008041245,669.05386049347,889.435201374199,-220.381340880729
202008041250,507.3028901802609,813.0087391354114,-305.7058489551505
202008041255,413.961783636536,733.1993480356363,-319.2375643991003
202008041300,296.9456826847745,645.9486149654639,-349.0029322806894
202008041305,123.54622259223834,541.4681364908188,-417.92191389858044
202008041310,-52.88408058672212,422.5976930753106,-475.4817736620327
202008041315,-151.34219184564427,307.8097160911196,-459.15190793676385
202008041320,-226.75704036076786,200.8963648007421,-427.65340516150997
202008041325,-400.76289557502605,80.56451272558849,-481.32740830061454
202008041330,-454.18898845720105,-26.38618751096942,-427.8028009462316
202008041335,-490.8710955476854,-119.28316911831263,-371.58792642937277
202008041340,-474.8485743730562,-190.39625016926135,-284.45232420379483
202008041345,-456.8839372775401,-243.6937875909171,-213.190149686623
202008041350,-398.4343334303121,-274.6418967587961,-123.79243667151599
202008041355,-426.43610439414624,-305.00073828586613,-121.4353661082801
202008041400,-482.6832343014539,-340.5372374889837,-142.14599681247023
202008041405,-521.2508348351112,-376.6799569582092,-144.570877876902
202008041410,-545.5274354260182,-410.44945265177097,-135.07798277424723
202008041415,-519.1626360550872,-432.1920893324342,-86.97054672265301
202008041420,-531.7581620629644,-452.1053038785402,-79.65285818442419
202008041425,-535.5665295954677,-468.7975490219257,-66.76898057354202
202008041430,-375.7746063848026,-450.1929604945011,74.4183541096985
202008041435,-246.2991724575404,-409.41420288710896,163.11503042956855
202008041440,-181.2195684124017,-363.7752759921675,182.5557075797658
202008041445,-206.5022767142509,-332.3206761365842,125.8183994223333
202008041450,-223.95736411068356,-310.6480137314041,86.69064962072054
202008041455,-235.08078171062516,-295.5345673272483,60.45378561662312
202008041500,-201.94863559422083,-276.8173809806428,74.86874538642195
202008041505,-173.68899250478717,-256.19170328547165,82.50271078068448
202008041510,-188.73697592469398,-242.7007578133161,53.96378188862212
202008041515,-198.3758577958797,-233.8357778098288,35.4599200139491
202008041520,-203.66699478554074,-227.8020212049712,24.13502641943046
202008041530,-127.15529875428183,-207.67267671483333,80.5173779605515
202008050905,208.41546364920214,-124.45504864202624,332.87051229122835
202008050910,703.9604716445319,41.22805541528541,662.7324162292465
202008050915,1123.3537346420926,257.65319126064685,865.7005433814458
202008050920,1399.9683568237233,486.1162243732621,913.8521324504611
202008050925,1561.5670681417687,701.2063931269635,860.3606750148052
202008050930,1670.3801089962362,895.041136300818,775.3389726954182
202008050935,1736.5968206742546,1063.3522731755054,673.2445474987492
202008050940,1847.021915912861,1220.0862017229765,626.9357141898845
202008050945,2029.9928946222062,1382.0675403028224,647.9253543193838
202008050950,2071.876221022685,1520.029276446795,551.8469445758901
202008050955,2081.079667962971,1632.23935475003,448.84031321294106
202008051000,1947.0700646488112,1695.2054967297863,251.86456791902492
202008051005,1898.2241353896097,1735.809224461751,162.41491092785873
202008051010,1759.9861664783675,1740.6446128650744,19.341553613293172
202008051015,1592.4551519014058,1711.0067206723406,-118.55156877093486
202008051020,1560.5552954448503,1680.9164356268425,-120.36114018199214
202008051025,1439.4422421475756,1632.6215969309892,-193.1793547834136
202008051030,1328.1491976309335,1571.727117070978,-243.57791944004452
202008051035,1264.9862801591516,1510.3789496886127,-245.39266952946105
202008051040,1161.9157746737474,1440.6863146856397,-278.7705400118923
202008051045,1028.7532330578542,1358.2996983600826,-329.5464653022284
202008051050,912.6999228681088,1269.179743261688,-356.4798203935791
202008051055,811.3738260201062,1177.6185598133716,-366.24473379326537
202008051100,722.7408575377776,1086.6430193582528,-363.90216182047516
202008051105,645.0627100654528,998.3269574996928,-353.2642474342399
202008051110,655.1888029567781,929.6993265911099,-274.5105236343318
202008051115,655.655812453304,874.8906237635487,-219.2348113102447
202008051120,687.7179331419757,837.4560856392341,-149.7381524972584
202008051125,705.0005868651206,810.9649858844114,-105.9643990192908
202008051130,710.5069328093086,790.8733752693909,-80.36644246008223
202008051135,785.0602587449248,789.7107519644976,-4.650493219572809
202008051140,795.3563373697689,790.8398690455518,4.516468324217044
202008051145,794.3591757525573,791.5437303869529,2.8154453656044325
202008051150,784.5253975538653,790.1400638203354,-5.614666266470067
202008051155,807.0485012722202,793.5217513107124,13.52674996150779
202008051200,815.497673686652,797.9169357859003,17.58073790075173
202008051205,812.823974880972,800.8983436049145,11.925631276057402
202008051210,801.4662453337223,801.0119239506761,0.45432138304624914
202008051215,861.7704031490139,813.1636197903437,48.606783358670214
202008051220,977.5326874413877,846.0374333205525,131.49525412083517
202008051225,978.7534778420813,872.5806422248583,106.17283561722309
202008051230,1007.7241429383866,899.609342367564,108.1148005708227
202008051235,979.7698304874939,915.64143999155,64.1283904959439
202008051240,868.366653148667,906.1864826229734,-37.8198294743064
202008051245,771.1890452262014,879.186995143619,-107.9979499174176
202008051250,725.4323547430104,848.4360670634973,-123.0037123204869
202008051255,720.4841516038869,822.8456839715752,-102.36153236768837
