일자,매수매도,가격
202008040905,0,0
202008040910,0,0
202008040915,0,0
202008040920,0,0
202008040925,0,0
202008040930,0,0
202008040935,0,0
202008040940,0,0
202008040945,0,0
202008040950,0,0
202008040955,0,0
202008041000,0,0
202008041005,0,0
202008041010,0,0
202008041015,0,0
202008041020,0,0
202008041025,0,0
202008041030,0,0
202008041035,0,0
202008041040,0,0
202008041045,0,0
202008041050,0,0
202008041055,0,0
202008041100,0,0
202008041105,0,0
202008041110,0,0
202008041115,0,0
202008041120,0,0
202008041125,0,0
202008041130,0,0
202008041135,0,0
202008041140,0,0
202008041145,0,0
202008041150,1,40750
202008041155,0,0
202008041200,0,0
202008041205,2,40800
202008041210,1,40700
202008041215,0,0
202008041220,0,0
202008041225,0,0
202008041230,0,0
202008041235,0,0
202008041240,0,0
202008041245,0,0
202008041250,0,0
202008041255,0,0
202008041300,0,0
202008041305,0,0
202008041310,0,0
202008041315,0,0
202008041320,0,0
202008041325,0,0
202008041330,0,0
202008041335,0,0
202008041340,2,40750
202008041345,0,0
202008041350,0,0
202008041355,0,0
202008041400,0,0
202008041405,0,0
202008041410,0,0
202008041415,0,0
202008041420,0,0
202008041425,0,0
202008041430,0,0
202008041435,0,0
202008041440,0,0
202008041445,0,0
202008041450,0,0
202008041455,0,0
202008041500,0,0
202008041505,0,0
202008041510,0,0
202008041515,0,0
202008041520,0,0
202008041530,0,0
202008050905,0,0
202008050910,0,0
202008050915,0,0
202008050920,0,0
202008050925,0,0
202008050930,1,41000
202008050935,0,0
202008050940,0,0
202008050945,0,0
202008050950,0,0
202008050955,0,0
202008051000,0,0
202008051005,0,0
202008051010,0,0
202008051015,0,0
202008051020,0,0
202008051025,0,0
202008051030,0,0
202008051035,0,0
202008051040,0,0
202008051045,0,0
202008051050,0,0
202008051055,0,0
202008051100,0,0
202008051105,0,0
202008051110,0,0
202008051115,0,0
202008051120,0,0
202008051125,0,0
202008051130,0,0
202008051135,0,0
202008051140,2,40800
202008051145,0,0
202008051150,0,0
202008051155,0,0
202008051200,0,0
202008051205,0,0
202008051210,0,0
202008051215,0,0
202008051220,0,0
202008051225,0,0
202008051230,0,0
202008051235,0,0
202008051240,0,0
202008051245,0,0
202008051250,0,0
202008051255,0,0
202008051300,0,0
202008051305,1,40850
202008051310,2,40950
202008051315,1,40850
202008051320,0,0
202008051325,0,0
202008051330,0,0
202008051335,0,0
202008051340,0,0
202008051345,0,0
202008051350,0,0
202008051355,0,0
202008051400,0,0
202008051405,2,40900
202008051410,0,0
202008051415,0,0
202008051420,0,0
202008051425,0,0
202008051430,0,0
202008051435,0,0
202008051440,0,0
202008051445,0,0
202008051450,0,0
202008051455,1,40800
202008051500,0,0
202008051505,0,0
202008051510,2,40950
202008051515,0,0
202008051520,0,0
202008051530,0,0
202008060905,0,0
202008060910,0,0
202008060915,0,0
202008060920,0,0
202008060925,0,0
202008060930,0,0
202008060935,0,0
202008060940,0,0
202008060945,0,0
202008060950,0,0
202008060955,0,0
202008061000,0,0
202008061005,0,0
202008061010,1,42350
202008061015,0,0
202008061020,0,0
202008061025,0,0
202008061030,0,0
202008061035,0,0
202008061040,0,0
202008061045,0,0
202008061050,0,0
202008061055,0,0
202008061100,0,0
202008061105,0,0
202008061110,0,0
202008061115,0,0
202008061120,0,0
202008061125,0,0
202008061130,0,0
202008061135,0,0
202008061140,0,0
202008061145,0,0
202008061150,0,0
202008061155,0,0
202008061200,0,0
202008061205,0,0
202008061210,0,0
202008061215,0,0
202008061220,0,0
202008061225,0,0
202008061230,0,0
202008061235,0,0
202008061240,2,42000
202008061245,0,0
202008061250,0,0
202008061255,0,0
202008061300,0,0
202008061305,0,0
202008061310,0,0
202008061315,0,0
202008061320,0,0
202008061325,0,0
202008061330,0,0
202008061335,0,0
202008061340,1,41950
202008061345,0,0
202008061350,0,0
202008061355,0,0
202008061400,0,0
202008061405,0,0
202008061410,0,0
202008061415,2,42100
202008061420,0,0
202008061425,0,0
202008061430,0,0
202008061435,0,0
202008061440,0,0
202008061445,0,0
202008061450,0,0
202008061455,0,0
202008061500,0,0
202008061505,0,0
202008061510,0,0
202008061515,0,0
202008061520,0,0
202008061530,0,0
202008070905,0,0
202008070910,0,0
202008070915,0,0
202008070920,0,0
202008070925,0,0
202008070930,0,0
202008070935,0,0
202008070940,0,0
202008070945,0,0
202008070950,1,42600
202008070955,0,0
202008071000,0,0
202008071005,0,0
202008071010,0,0
202008071015,0,0
202008071020,0,0
202008071025,0,0
202008071030,0,0
202008071035,0,0
202008071040,0,0
202008071045,0,0
202008071050,0,0
202008071055,0,0
202008071100,0,0
202008071105,0,0
202008071110,2,42400
202008071115,0,0
202008071120,1,42100
202008071125,0,0
202008071130,0,0
202008071135,0,0
202008071140,0,0
202008071145,0,0
202008071150,0,0
202008071155,0,0
202008071200,0,0
202008071205,0,0
202008071210,0,0
202008071215,0,0
202008071220,0,0
202008071225,0,0
202008071230,0,0
202008071235,0,0
202008071240,0,0
202008071245,2,41850
202008071250,0,0
202008071255,0,0
202008071300,0,0
202008071305,0,0
202008071310,0,0
202008071315,0,0
202008071320,0,0
202008071325,0,0
202008071330,0,0
202008071335,0,0
202008071340,0,0
202008071345,0,0
202008071350,0,0
202008071355,0,0
202008071400,0,0
202008071405,0,0
202008071410,0,0
202008071415,0,0
202008071420,0,0
202008071425,0,0
202008071430,0,0
202008071435,0,0
202008071440,0,0
202008071445,0,0
202008071450,0,0
202008071455,0,0
202008071500,0,0
202008071505,0,0
202008071510,0,0
202008071515,0,0
202008071520,0,0
202008071530,1,42250
202008100905,2,43100
202008100910,0,0
202008100915,0,0
202008100920,0,0
202008100925,0,0
202008100930,0,0
202008100935,0,0
202008100940,0,0
202008100945,0,0
202008100950,0,0
202008100955,0,0
202008101000,0,0
202008101005,0,0
202008101010,1,43800
202008101015,0,0
202008101020,0,0
202008101025,0,0
202008101030,0,0
202008101035,0,0
202008101040,0,0
202008101045,0,0
202008101050,0,0
202008101055,0,0
202008101100,0,0
202008101105,0,0
202008101110,0,0
202008101115,0,0
202008101120,0,0
202008101125,0,0
202008101130,0,0
202008101135,0,0
202008101140,0,0
202008101145,0,0
202008101150,0,0
202008101155,0,0
202008101200,0,0
202008101205,0,0
202008101210,0,0
202008101215,0,0
202008101220,0,0
202008101225,2,45600
202008101230,0,0
202008101235,0,0
202008101240,0,0
202008101245,0,0
202008101250,0,0
202008101255,0,0
202008101300,0,0
202008101305,0,0
202008101310,0,0
202008101315,1,46100
202008101320,0,0
202008101325,0,0
202008101330,0,0
202008101335,0,0
202008101340,0,0
202008101345,0,0
202008101350,0,0
202008101355,0,0
202008101400,0,0
202008101405,0,0
202008101410,0,0
202008101415,0,0
202008101420,0,0
202008101425,0,0
202008101430,0,0
202008101435,0,0
202008101440,2,46250
202008101445,0,0
202008101450,0,0
202008101455,1,45900
202008101500,0,0
202008101505,0,0
202008101510,0,0
202008101515,2,46250
202008101520,0,0
202008101530,0,0
202008110905,0,0
202008110910,1,45300
202008110915,0,0
202008110920,0,0
202008110925,0,0
202008110930,0,0
202008110935,0,0
202008110940,2,46350
202008110945,1,45750
202008110950,0,0
202008110955,0,0
202008111000,0,0
202008111005,0,0
202008111010,0,0
202008111015,0,0
202008111020,0,0
202008111025,0,0
202008111030,0,0
202008111035,0,0
202008111040,0,0
202008111045,0,0
202008111050,0,0
202008111055,0,0
202008111100,0,0
202008111105,0,0
202008111110,0,0
202008111115,0,0
202008111120,2,45550
202008111125,0,0
202008111130,0,0
202008111135,0,0
202008111140,0,0
202008111145,0,0
202008111150,0,0
202008111155,0,0
202008111200,0,0
202008111205,0,0
202008111210,0,0
202008111215,0,0
202008111220,0,0
202008111225,0,0
202008111230,0,0
202008111235,0,0
202008111240,0,0
202008111245,1,45800
202008111250,0,0
202008111255,0,0
202008111300,0,0
202008111305,0,0
202008111310,0,0
202008111315,0,0
202008111320,0,0
202008111325,0,0
202008111330,0,0
202008111335,0,0
202008111340,0,0
202008111345,0,0
202008111350,0,0
202008111355,2,46100
202008111400,0,0
202008111405,0,0
202008111410,0,0
202008111415,0,0
202008111420,0,0
202008111425,0,0
202008111430,0,0
202008111435,0,0
202008111440,0,0
202008111445,0,0
202008111450,0,0
202008111455,0,0
202008111500,0,0
202008111505,0,0
202008111510,0,0
202008111515,0,0
202008111520,0,0
202008111530,0,0
202008120905,1,46400
202008120910,0,0
202008120915,0,0
202008120920,0,0
202008120925,0,0
202008120930,0,0
202008120935,0,0
202008120940,0,0
202008120945,0,0
202008120950,0,0
202008120955,0,0
202008121000,0,0
202008121005,0,0
202008121010,0,0
202008121015,0,0
202008121020,0,0
202008121025,0,0
202008121030,2,45950
202008121035,0,0
202008121040,0,0
202008121045,0,0
202008121050,0,0
202008121055,0,0
202008121100,0,0
202008121105,0,0
202008121110,0,0
202008121115,0,0
202008121120,0,0
202008121125,0,0
202008121130,0,0
202008121135,0,0
202008121140,0,0
202008121145,0,0
202008121150,0,0
202008121155,0,0
202008121200,0,0
202008121205,0,0
202008121210,1,45900
202008121215,0,0
202008121220,0,0
202008121225,0,0
202008121230,0,0
202008121235,0,0
202008121240,0,0
202008121245,0,0
202008121250,0,0
202008121255,0,0
202008121300,0,0
202008121305,0,0
202008121310,0,0
202008121315,0,0
202008121320,0,0
202008121325,0,0
202008121330,0,0
202008121335,0,0
202008121340,0,0
202008121345,0,0
202008121350,0,0
202008121355,0,0
202008121400,0,0
202008121405,0,0
202008121410,0,0
202008121415,0,0
202008121420,0,0
202008121425,0,0
202008121430,2,45500
202008121435,1,45350
202008121440,0,0
202008121445,0,0
202008121450,0,0
202008121455,0,0
202008121500,0,0
202008121505,0,0
202008121510,0,0
202008121515,0,0
202008121520,0,0
202008121530,2,45250
202008130905,0,0
202008130910,0,0
202008130915,0,0
202008130920,0,0
202008130925,0,0
202008130930,0,0
202008130935,0,0
202008130940,0,0
202008130945,0,0
202008130950,0,0
202008130955,0,0
202008131000,0,0
202008131005,0,0
202008131010,0,0
202008131015,0,0
202008131020,0,0
202008131025,0,0
202008131030,0,0
202008131035,0,0
202008131040,0,0
202008131045,1,45350
202008131050,0,0
202008131055,0,0
202008131100,0,0
202008131105,0,0
202008131110,0,0
202008131115,0,0
202008131120,0,0
202008131125,0,0
202008131130,0,0
202008131135,0,0
202008131140,0,0
202008131145,0,0
202008131150,0,0
202008131155,0,0
202008131200,2,45300
202008131205,0,0
202008131210,0,0
202008131215,0,0
202008131220,0,0
202008131225,1,45200
202008131230,0,0
202008131235,0,0
202008131240,0,0
202008131245,0,0
202008131250,0,0
202008131255,0,0
202008131300,0,0
202008131305,0,0
202008131310,0,0
202008131315,0,0
202008131320,0,0
202008131325,0,0
202008131330,2,45100
202008131335,0,0
202008131340,0,0
202008131345,0,0
202008131350,0,0
202008131355,0,0
202008131400,1,45000
202008131405,0,0
202008131410,0,0
202008131415,0,0
202008131420,0,0
202008131425,0,0
202008131430,0,0
202008131435,0,0
202008131440,0,0
202008131445,0,0
202008131450,0,0
202008131455,0,0
202008131500,0,0
202008131505,0,0
202008131510,0,0
202008131515,0,0
202008131520,0,0
202008131530,2,44900
202008140905,0,0
202008140910,0,0
202008140915,0,0
202008140920,0,0
202008140925,0,0
202008140930,1,44250
202008140935,0,0
202008140940,0,0
202008140945,0,0
202008140950,0,0
202008140955,0,0
202008141000,0,0
202008141005,0,0
202008141010,0,0
202008141015,0,0
202008141020,0,0
202008141025,0,0
202008141030,0,0
202008141035,0,0
202008141040,2,43950
202008141045,0,0
202008141050,0,0
202008141055,0,0
202008141100,0,0
202008141105,0,0
202008141110,0,0
202008141115,0,0
202008141120,0,0
202008141125,0,0
202008141130,0,0
202008141135,0,0
202008141140,0,0
202008141145,0,0
202008141150,0,0
202008141155,0,0
202008141200,0,0
202008141205,0,0
202008141210,0,0
202008141215,0,0
202008141220,0,0
202008141225,0,0
202008141230,0,0
202008141235,0,0
202008141240,0,0
202008141245,0,0
202008141250,0,0
202008141255,0,0
202008141300,0,0
202008141305,0,0
202008141310,1,43950
202008141315,0,0
202008141320,0,0
202008141325,0,0
202008141330,0,0
202008141335,0,0
202008141340,2,44150
202008141345,0,0
202008141350,0,0
202008141355,0,0
202008141400,0,0
202008141405,0,0
202008141410,0,0
202008141415,0,0
202008141420,0,0
202008141425,0,0
202008141430,0,0
202008141435,0,0
202008141440,1,44150
202008141445,2,44250
202008141450,0,0
202008141455,1,44100
202008141500,0,0
202008141505,2,44500
202008141510,0,0
202008141515,0,0
202008141520,0,0
202008141530,0,0
202008180905,1,43700
202008180910,0,0
202008180915,0,0
202008180920,0,0
202008180925,0,0
202008180930,0,0
202008180935,0,0
202008180940,2,44350
202008180945,0,0
202008180950,0,0
202008180955,0,0
202008181000,0,0
202008181005,1,43950
202008181010,0,0
202008181015,0,0
202008181020,0,0
202008181025,0,0
202008181030,0,0
202008181035,0,0
202008181040,0,0
202008181045,0,0
202008181050,0,0
202008181055,0,0
202008181100,0,0
202008181105,0,0
202008181110,0,0
202008181115,0,0
202008181120,0,0
202008181125,0,0
202008181130,0,0
202008181135,2,43750
202008181140,0,0
202008181145,0,0
202008181150,1,43600
202008181155,0,0
202008181200,0,0
202008181205,0,0
202008181210,0,0
202008181215,0,0
202008181220,2,43750
202008181225,0,0
202008181230,0,0
202008181235,0,0
202008181240,0,0
202008181245,0,0
202008181250,0,0
202008181255,0,0
202008181300,0,0
202008181305,0,0
202008181310,0,0
202008181315,0,0
202008181320,0,0
202008181325,0,0
202008181330,0,0
202008181335,0,0
202008181340,0,0
202008181345,1,43750
202008181350,0,0
202008181355,0,0
202008181400,0,0
202008181405,0,0
202008181410,0,0
202008181415,0,0
202008181420,0,0
202008181425,0,0
202008181430,0,0
202008181435,0,0
202008181440,0,0
202008181445,0,0
202008181450,0,0
202008181455,0,0
202008181500,0,0
202008181505,0,0
202008181510,0,0
202008181515,0,0
202008181520,0,0
202008181530,0,0
202008190905,0,0
202008190910,2,42750
202008190915,0,0
202008190920,0,0
202008190925,0,0
202008190930,0,0
202008190935,0,0
202008190940,0,0
202008190945,0,0
202008190950,1,42200
202008190955,0,0
202008191000,0,0
202008191005,0,0
202008191010,2,42450
202008191015,0,0
202008191020,0,0
202008191025,0,0
202008191030,1,42050
202008191035,2,42150
202008191040,0,0
202008191045,0,0
202008191050,0,0
202008191055,0,0
202008191100,0,0
202008191105,0,0
202008191110,0,0
202008191115,0,0
202008191120,0,0
202008191125,0,0
202008191130,0,0
202008191135,0,0
202008191140,0,0
202008191145,0,0
202008191150,0,0
202008191155,0,0
202008191200,0,0
202008191205,0,0
202008191210,0,0
202008191215,0,0
202008191220,0,0
202008191225,0,0
202008191230,0,0
202008191235,0,0
202008191240,0,0
202008191245,0,0
202008191250,0,0
202008191255,0,0
202008191300,0,0
202008191305,0,0
202008191310,0,0
202008191315,0,0
202008191320,1,42500
202008191325,0,0
202008191330,0,0
202008191335,0,0
202008191340,0,0
202008191345,0,0
202008191350,0,0
202008191355,0,0
202008191400,0,0
202008191405,0,0
202008191410,0,0
202008191415,0,0
202008191420,2,42700
202008191425,0,0
202008191430,0,0
202008191435,0,0
202008191440,0,0
202008191445,0,0
202008191450,0,0
202008191455,0,0
202008191500,1,42550
202008191505,0,0
202008191510,0,0
202008191515,0,0
202008191520,0,0
202008191530,0,0
202008200905,0,0
202008200910,0,0
202008200915,0,0
202008200920,2,42800
202008200925,0,0
202008200930,0,0
202008200935,0,0
202008200940,0,0
202008200945,0,0
202008200950,1,42100
202008200955,0,0
202008201000,0,0
202008201005,0,0
202008201010,0,0
202008201015,0,0
202008201020,0,0
202008201025,0,0
202008201030,0,0
202008201035,0,0
202008201040,0,0
202008201045,0,0
202008201050,0,0
202008201055,0,0
202008201100,0,0
202008201105,0,0
202008201110,0,0
202008201115,0,0
202008201120,0,0
202008201125,2,41000
202008201130,0,0
202008201135,0,0
202008201140,0,0
202008201145,0,0
202008201150,0,0
